id_carrera,neumatico,vueltas_uso,tiempo_pitstop_s,temp_pista_c,podio
R2026-01883,Duro,29,5.71,49.3,0
R2026-01884,Duro,12,2.62,17.3,0
R2026-01885,Medio,35,4.68,40.3,1
R2026-01886,Blando,39,110.45,39.5,0
R2026-01887,Blando,31,2.61,33.5,0
R2026-01888,Medio,15,5.79,48.9,0
R2026-01889,Medio,1,2.15,,1
R2026-01890,Duro,17,4.16,45.1,1
R2026-01891,Medio,45,4.33,52.3,0
R2026-01892,Blando,10,5.93,46.0,1
R2026-01893,Lluvia,30,2.37,39.3,0
R2026-01894,Lluvia,8,3.02,47.5,1
R2026-01895,Medio,23,2.77,40.8,0
R2026-01896,Blando,41,3.72,43.9,0
R2026-01897,Duro,35,5.12,34.0,1
R2026-01898,Lluvia,6,6.03,26.2,0
R2026-01899,Lluvia,31,5.52,21.6,1
R2026-01900,Lluvia,39,3.37,23.1,1
R2026-01901,Lluvia,42,2.62,44.7,0
R2026-01902,Duro,6,3.07,50.4,0
R2026-01903,Medio,5,6.24,31.9,0
R2026-01904,Duro,25,6.19,39.2,1
R2026-01905,Blando,13,3.35,42.5,1
R2026-01906,Blando,36,5.32,49.9,1
R2026-01907,Lluvia,44,5.87,22.3,1
R2026-01908,Duro,35,NaN,30.2,0
R2026-01909,Lluvia,1,3.3,38.7,0
R2026-01910,Lluvia,40,6.23,15.8,0
R2026-01911,Blando,10,4.91,16.5,0
R2026-01912,Duro,18,4.36,40.3,1
R2026-01913,Duro,42,6.01,37.9,0
R2026-01914,Blando,25,4.34,16.3,0
R2026-01915,Duro,29,2.2,54.2,1
R2026-01916,Blando,6,3.6,15.2,0
R2026-01917,Duro,30,3.21,20.8,1
R2026-01918,Duro,19,3.07,48.7,1
R2026-01919,Lluvia,2,2.39,49.0,0
R2026-01920,Blando,28,5.23,44.9,0
R2026-01921,Blando,,2.4,39.8,1
R2026-01922,Blando,33,4.6,29.3,0
R2026-01923,Blando,1,4.13,49.0,0
R2026-01924,Lluvia,26,3.44,47.7,1
R2026-01925,Duro,9,6.0,22.5,1
R2026-01926,Duro,21,5.69,35.9,0
R2026-01927,Lluvia,15,3.29,14.5,1
R2026-01928,Lluvia,39,4.59,30.3,1
R2026-01929,Blando,22,4.72,48.6,0
R2026-01930,Medio,35,5.82,32.3,0
R2026-01931,Blando,27,2.57,26.1,1
R2026-01932,Blando,5,4.94,31.1,1
R2026-01933,Blando,32,4.24,33.8,1
R2026-01934,Blando,24,4.66,24.5,0
R2026-01935,Duro,10,3.94,41.8,1
R2026-01936,Duro,3,3.17,51.5,1
R2026-01937,Blando,15,5.74,51.4,1
R2026-01938,Lluvia,37,4.46,51.5,0
R2026-01939,Medio,15,5.41,31.9,0
R2026-01940,Blando,21,5.8,24.5,1
R2026-01941,Blando,15,5.21,26.6,0
R2026-01942,Lluvia,32,NaN,50.0,0
R2026-01943,Blando,13,3.49,16.4,0
R2026-01944,Medio,16,3.87,14.4,1
R2026-01945,Lluvia,2,4.27,25.6,1
R2026-01946,Medio,10,4.57,35.6,1
R2026-01947,Lluvia,29,5.82,53.9,0
R2026-01948,Duro,18,5.72,21.8,0
R2026-01949,Duro,9,2.11,53.9,1
R2026-01950,Duro,4,2.92,18.7,0
R2026-01951,Duro,10,5.01,18.2,1
R2026-01952,Medio,-7,3.96,20.7,0
R2026-01953,Blando,35,4.99,18.9,1
R2026-01954,Duro,25,2.54,26.9,0
R2026-01955,Blando,17,3.93,41.7,1
R2026-01956,Lluvia,18,5.19,48.2,0
R2026-01957,Lluvia,11,2.84,14.3,0
R2026-01958,Duro,24,4.15,44.2,0
R2026-01959,Duro,28,NaN,45.7,1
R2026-01960,Medio,-9,6.44,33.7,1
R2026-01961,Duro,13,4.04,27.2,1
R2026-01962,Medio,-14,4.23,37.6,1
R2026-01963,Duro,13,6.05,40.4,0
R2026-01964,Duro,42,5.79,19.9,0
R2026-01965,Lluvia,20,4.68,47.9,1
R2026-01966,Medio,39,4.87,20.8,1
R2026-01967,Blando,3,2.24,44.8,1
R2026-01968,Medio,1,3.88,17.7,0
R2026-01969,Medio,23,2.95,22.9,0
R2026-01970,Duro,27,4.15,25.5,0
R2026-01971,Lluvia,23,3.94,45.6,0
R2026-01972,Medio,6,5.86,47.2,0
R2026-01973,Blando,33,4.91,49.6,1
R2026-01974,Blando,,4.28,28.1,0
R2026-01975,Lluvia,6,2.6,38.2,0
R2026-01976,Blando,13,5.33,22.5,0
R2026-01977,Medio,21,5.12,29.2,1
R2026-01978,Lluvia,17,4.95,46.9,1
R2026-01979,Medio,NaN,5.42,29.3,0
R2026-01980,Duro,22,4.68,21.3,1
R2026-01981,Medio,16,4.98,NaN,1
R2026-01982,Blando,17,5.27,46.2,0
R2026-01983,Blando,41,3.51,16.1,0
R2026-01984,Blando,28,3.08,14.3,1
R2026-01985,Blando,38,3.72,42.5,0
R2026-01986,Medio,20,4.34,40.9,1
R2026-01987,Lluvia,4,3.78,21.8,0
R2026-01988,Blando,22,NaN,24.9,0
R2026-01989,Duro,-7,5.34,43.3,0
R2026-01990,Duro,22,4.46,39.4,0
R2026-01991,Medio,2,6.46,32.8,1
R2026-01992,Medio,42,3.86,22.3,1
R2026-01993,Blando,21,5.71,47.0,1
R2026-01994,Medio,7,4.72,NaN,0
R2026-01995,Blando,4,2.48,23.8,1
R2026-01996,Lluvia,40,2.52,30.0,1
R2026-01997,Blando,12,4.78,32.4,0
R2026-01998,Lluvia,15,5.18,20.9,1
R2026-01999,Duro,35,3.3,48.2,1
R2026-02000,Lluvia,10,50.12,45.7,1
R2026-02001,Duro,31,5.71,19.7,0
R2026-02002,Lluvia,23,,41.9,0
R2026-02003,Medio,20,4.23,47.1,0
R2026-02004,Medio,12,4.02,41.0,0
R2026-02005,Duro,-12,6.01,36.4,1
R2026-02006,Duro,9,4.04,43.3,0
R2026-02007,Duro,13,4.39,29.9,0
R2026-02008,Blando,8,5.83,51.3,1
R2026-02009,Blando,26,5.27,,1
R2026-02010,Blando,27,5.54,31.0,0
R2026-02011,Medio,NaN,2.5,23.5,1
R2026-02012,Medio,2,5.51,30.6,0
R2026-02013,Duro,19,4.9,49.1,0
R2026-02014,Medio,,5.76,26.5,1
R2026-02015,Duro,22,3.21,47.8,1
R2026-02016,Duro,9,3.82,14.1,1
R2026-02017,Lluvia,34,2.42,23.6,0
R2026-02018,Medio,,5.66,32.5,1
R2026-02019,Duro,28,2.3,17.5,1
R2026-02020,Medio,-8,6.37,14.9,1
R2026-02021,Blando,40,3.17,54.1,1
R2026-02022,Blando,27,2.46,50.2,0
R2026-02023,Blando,38,,51.2,0
R2026-02024,Duro,7,5.59,41.5,0
R2026-02025,Medio,2,2.22,28.1,0
R2026-02026,Duro,13,4.76,23.8,1
R2026-02027,Duro,-1,4.76,39.0,1
R2026-02028,Duro,23,2.67,25.6,1
R2026-02029,Medio,45,4.96,21.8,1
R2026-02030,Medio,22,3.54,37.1,0
R2026-02031,Medio,27,4.45,22.6,1
R2026-02032,Lluvia,30,3.35,26.9,0
R2026-02033,Lluvia,15,5.69,47.0,0
R2026-02034,Lluvia,20,2.14,19.7,0
R2026-02035,Duro,-12,2.49,15.4,0
R2026-02036,Blando,7,3.79,40.8,1
R2026-02037,Duro,21,2.89,14.6,1
R2026-02038,Blando,34,NaN,36.5,1
R2026-02039,Lluvia,16,4.04,17.2,0
R2026-02040,Blando,10,4.13,41.7,0
R2026-02041,Duro,19,3.74,54.4,0
R2026-02042,Lluvia,1,3.19,42.6,0
R2026-02043,Lluvia,5,3.64,38.0,1
R2026-02044,Lluvia,21,2.92,21.8,0
R2026-02045,Lluvia,43,2.86,19.2,0
R2026-02046,Duro,35,3.08,54.9,1
R2026-02047,Medio,10,4.97,33.5,0
R2026-02048,Lluvia,40,3.76,29.4,0
R2026-02049,Medio,11,3.13,17.6,0
R2026-02050,Medio,25,5.55,28.0,1
R2026-02051,Blando,25,5.7,37.7,1
R2026-02052,Blando,21,6.16,52.3,1
R2026-02053,Medio,33,4.09,16.6,0
R2026-02054,Medio,20,5.25,NaN,1
R2026-02055,Medio,13,4.77,24.2,0
R2026-02056,Lluvia,8,6.38,46.2,1
R2026-02057,Duro,32,2.8,46.2,1
R2026-02058,Medio,24,3.65,,1
R2026-02059,Duro,36,4.15,39.6,1
R2026-02060,Medio,1,3.94,46.2,1
R2026-02061,Blando,16,4.46,,0
R2026-02062,Duro,18,3.35,48.2,0
R2026-02063,Medio,4,4.57,54.1,0
R2026-02064,Blando,22,4.19,,1
R2026-02065,Lluvia,-13,3.01,15.2,0
R2026-02066,Duro,1,5.82,52.2,0
R2026-02067,Blando,23,4.87,44.1,0
R2026-02068,Lluvia,8,4.26,46.8,0
R2026-02069,Duro,21,5.98,15.2,1
R2026-02070,Blando,21,4.38,25.0,1
R2026-02071,Blando,30,6.16,38.7,1
R2026-02072,Blando,3,3.62,46.7,1
R2026-02073,Duro,9,6.25,39.9,1
R2026-02074,Lluvia,NaN,117.51,22.9,0
R2026-02075,Lluvia,,5.99,26.8,0
R2026-02076,Lluvia,4,5.0,34.4,1
R2026-02077,Blando,14,3.81,21.1,0
R2026-02078,Duro,NaN,5.41,19.2,1
R2026-02079,Duro,24,5.56,31.5,1
R2026-02080,Lluvia,45,5.03,31.4,0
R2026-02081,Lluvia,1,5.23,42.0,0
R2026-02082,Lluvia,45,2.23,48.6,0
R2026-02083,Lluvia,22,2.55,21.2,0
R2026-02084,Medio,4,2.2,46.9,1
R2026-02085,Medio,28,2.29,34.9,1
R2026-02086,Blando,22,4.8,17.1,0
R2026-02087,Lluvia,37,4.98,26.7,1
R2026-02088,Medio,28,3.11,47.8,1
R2026-02089,Blando,23,5.54,45.0,0
R2026-02090,Lluvia,18,5.06,26.1,0
R2026-02091,Medio,28,3.97,52.6,1
R2026-02092,Duro,42,6.38,47.9,0
R2026-02093,Medio,22,53.7,34.4,0
R2026-02094,Duro,10,3.35,41.9,1
R2026-02095,Duro,7,2.67,32.0,0
R2026-02096,Duro,35,5.76,43.8,1
R2026-02097,Duro,NaN,5.91,40.4,1
R2026-02098,Medio,12,5.13,24.9,1
R2026-02099,Duro,44,4.02,17.7,0
R2026-02100,Medio,24,2.29,22.5,0
R2026-02101,Duro,20,5.8,49.6,0
R2026-02102,Duro,28,3.32,19.9,0
R2026-02103,Duro,24,4.76,52.2,0
R2026-02104,Duro,20,2.57,44.3,1
R2026-02105,Blando,18,5.03,36.2,1
R2026-02106,Lluvia,37,5.48,25.5,1
R2026-02107,Medio,45,3.34,35.6,1
R2026-02108,Lluvia,28,4.72,51.8,0
R2026-02109,Lluvia,7,6.44,15.3,0
R2026-02110,Lluvia,19,3.5,17.8,0
R2026-02111,Medio,24,5.49,,1
R2026-02112,Medio,,3.44,44.0,0
R2026-02113,Blando,32,2.58,50.8,1
R2026-02114,Blando,9,6.46,40.7,0
R2026-02115,Medio,24,5.6,45.4,0
R2026-02116,Medio,28,3.89,17.4,1
R2026-02117,Medio,19,,49.7,1
R2026-02118,Blando,-9,3.24,21.1,0
R2026-02119,Medio,32,4.01,20.2,1
R2026-02120,Lluvia,29,3.64,NaN,0
R2026-02121,Medio,29,5.98,17.8,1
R2026-02122,Medio,24,6.13,24.0,0
R2026-02123,Medio,29,4.27,52.1,0
R2026-02124,Blando,24,4.06,14.0,1
R2026-02125,Medio,33,2.4,39.1,1
R2026-02126,Blando,13,2.63,31.2,1
R2026-02127,Lluvia,24,2.45,42.1,1
R2026-02128,Duro,28,4.23,52.6,1
R2026-02129,Duro,23,2.58,32.1,0
R2026-02130,Lluvia,36,5.2,37.5,1
R2026-02131,Duro,41,3.36,19.7,1
R2026-02132,Blando,40,2.66,17.2,1
R2026-02133,Lluvia,11,NaN,24.8,1
R2026-02134,Blando,8,4.44,49.7,0
R2026-02135,Blando,29,3.96,42.4,1
R2026-02136,Medio,24,4.6,53.4,1
R2026-02137,Duro,45,3.55,20.0,1
R2026-02138,Medio,28,4.5,30.7,1
R2026-02139,Blando,9,3.12,39.7,1
R2026-02140,Lluvia,43,4.07,17.7,1
R2026-02141,Blando,15,3.57,32.0,1
R2026-02142,Blando,26,5.03,54.7,1
R2026-02143,Duro,10,3.95,NaN,1
R2026-02144,Lluvia,8,5.92,46.8,0
R2026-02145,Lluvia,5,4.93,31.3,0
R2026-02146,Lluvia,2,3.45,40.1,1
R2026-02147,Medio,26,2.13,29.0,0
R2026-02148,Lluvia,31,5.5,23.7,1
R2026-02149,Lluvia,41,3.56,43.7,1
R2026-02150,Blando,11,86.59,39.8,0
R2026-02151,Duro,10,2.25,40.0,0
R2026-02152,Lluvia,26,2.74,54.0,0
R2026-02153,Duro,27,5.12,30.8,1
R2026-02154,Medio,14,6.25,24.5,0
R2026-02155,Blando,17,5.88,37.8,1
R2026-02156,Blando,33,3.19,40.3,0
R2026-02157,Lluvia,21,4.6,34.5,0
R2026-02158,Duro,7,6.23,27.2,1
R2026-02159,Duro,43,4.12,19.4,1
R2026-02160,Blando,19,5.24,53.9,1
R2026-02161,Duro,18,5.17,28.7,1
R2026-02162,Medio,15,6.41,14.3,1
R2026-02163,Duro,4,2.82,46.1,1
R2026-02164,Blando,31,5.02,25.5,1
R2026-02165,Blando,32,3.79,29.7,1
R2026-02166,Duro,14,2.76,49.9,0
R2026-02167,Medio,36,2.66,48.6,0
R2026-02168,Duro,1,3.17,50.3,0
R2026-02169,Medio,9,2.97,45.1,1
R2026-02170,Medio,17,6.49,21.3,0
R2026-02171,Blando,23,6.14,50.0,0
R2026-02172,Lluvia,30,,51.7,0
R2026-02173,Blando,14,4.98,47.8,1
R2026-02174,Medio,34,NaN,46.1,0
R2026-02175,Lluvia,29,2.16,37.9,1
R2026-02176,Lluvia,38,6.24,26.5,1
R2026-02177,Medio,6,3.76,24.7,0
R2026-02178,Duro,41,2.54,22.0,1
R2026-02179,Medio,23,3.33,23.4,0
R2026-02180,Medio,28,,51.2,1
R2026-02181,Medio,17,4.71,39.4,0
R2026-02182,Lluvia,4,5.01,23.1,1
R2026-02183,Duro,37,2.68,47.8,0
R2026-02184,Duro,3,5.96,42.8,1
R2026-02185,Duro,15,5.86,54.9,1
R2026-02186,Lluvia,NaN,3.59,52.3,1
R2026-02187,Duro,11,5.37,32.8,1
R2026-02188,Duro,-13,3.96,33.4,0
R2026-02189,Lluvia,3,4.93,14.0,1
R2026-02190,Medio,42,3.17,38.8,1
R2026-02191,Duro,28,4.45,41.7,0
R2026-02192,Lluvia,43,87.75,43.2,1
R2026-02193,Blando,3,5.82,53.7,0
R2026-02194,Medio,13,3.33,19.8,1
R2026-02195,Blando,30,5.52,25.5,0
R2026-02196,Duro,35,5.78,25.6,1
R2026-02197,Duro,8,5.48,21.6,0
R2026-02198,Blando,40,3.84,16.1,1
R2026-02199,Duro,2,2.6,36.0,0
R2026-02200,Duro,32,2.26,19.6,1
R2026-02201,Medio,32,NaN,43.7,1
R2026-02202,Blando,44,,34.2,1
R2026-02203,Blando,-5,4.03,22.4,0
R2026-02204,,13,6.23,34.3,0
R2026-02205,Blando,9,6.07,23.6,1
R2026-02206,,20,4.5,16.0,1
R2026-02207,Lluvia,43,2.5,31.2,1
R2026-02208,Blando,19,6.44,34.5,1
R2026-02209,Duro,20,5.59,28.2,0
R2026-02210,Duro,24,6.24,16.0,0
R2026-02211,Duro,31,4.18,36.1,1
R2026-02212,Medio,8,6.06,47.3,0
R2026-02213,Blando,7,2.92,31.0,0
R2026-02214,Duro,15,2.24,53.2,1
R2026-02215,,3,5.5,39.4,0
R2026-02216,Blando,22,3.49,19.5,1
R2026-02217,Medio,17,4.67,38.8,1
R2026-02218,Blando,,5.2,16.4,0
R2026-02219,Medio,26,NaN,49.4,0
R2026-02220,Medio,37,3.52,29.9,0
R2026-02221,Medio,18,3.72,52.1,0
R2026-02222,Lluvia,12,4.21,17.5,1
R2026-02223,Duro,25,5.82,52.6,1
R2026-02224,Blando,41,4.51,47.9,0
R2026-02225,Lluvia,45,3.29,14.6,0
R2026-02226,Medio,10,5.93,16.9,0
R2026-02227,Blando,1,4.54,40.0,0
R2026-02228,Medio,44,61.2,44.4,1
R2026-02229,Duro,12,2.36,19.4,0
R2026-02230,Lluvia,26,3.02,19.0,0
R2026-02231,Medio,11,3.65,38.9,1
R2026-02232,Medio,37,5.85,26.2,1
R2026-02233,Duro,40,5.66,25.3,0
R2026-02234,Lluvia,9,3.88,48.8,0
R2026-02235,Lluvia,30,3.81,39.2,1
R2026-02236,Duro,39,2.87,52.6,1
R2026-02237,Medio,4,6.1,18.7,0
R2026-02238,Lluvia,37,3.06,52.7,0
R2026-02239,Blando,14,5.18,52.6,1
R2026-02240,Lluvia,3,4.53,24.5,1
R2026-02241,Duro,20,6.2,30.6,0
R2026-02242,Blando,35,5.62,36.4,1
R2026-02243,Blando,45,84.53,37.7,0
R2026-02244,Blando,20,3.59,46.2,1
R2026-02245,Lluvia,-2,3.8,39.4,1
R2026-02246,Lluvia,28,5.29,39.1,1
R2026-02247,Lluvia,35,,18.6,0
R2026-02248,Blando,44,4.97,34.9,0
R2026-02249,Duro,45,3.27,28.2,1
R2026-02250,Blando,,6.11,29.9,0
R2026-02251,Medio,1,2.73,22.1,1
R2026-02252,Medio,19,3.07,14.7,1
R2026-02253,Duro,5,5.65,39.2,1
R2026-02254,Duro,7,3.94,33.6,1
R2026-02255,Duro,3,65.33,33.0,1
R2026-02256,Duro,22,3.78,18.0,0
R2026-02257,Lluvia,8,3.49,37.3,1
R2026-02258,Medio,43,4.12,47.5,0
R2026-02259,Duro,10,3.85,41.2,0
R2026-02260,Medio,2,3.12,39.7,0
R2026-02261,Lluvia,36,6.34,45.1,1
R2026-02262,Duro,37,2.71,37.9,1
R2026-02263,Lluvia,43,4.53,19.0,1
R2026-02264,Medio,6,3.73,53.2,1
R2026-02265,Medio,34,4.16,34.0,1
R2026-02266,Medio,42,3.33,45.0,1
R2026-02267,Lluvia,32,4.31,36.0,0
R2026-02268,Duro,33,3.46,16.0,1
R2026-02269,Duro,29,6.44,32.7,0
R2026-02270,Duro,5,3.31,42.2,0
R2026-02271,Blando,43,3.93,41.0,1
R2026-02272,Lluvia,6,4.86,28.0,0
R2026-02273,Lluvia,25,4.92,36.7,1
R2026-02274,Lluvia,38,2.89,23.7,0
R2026-02275,Duro,41,5.87,25.8,0
R2026-02276,Lluvia,6,5.37,NaN,0
R2026-02277,,43,6.39,,1
R2026-02278,Blando,4,3.37,16.4,0
R2026-02279,Blando,7,6.17,19.3,1
R2026-02280,Duro,6,NaN,41.6,0
R2026-02281,Blando,17,3.09,52.3,0
R2026-02282,Medio,40,,50.8,1
R2026-02283,Blando,36,4.7,40.9,1
R2026-02284,Blando,1,59.65,44.8,0
R2026-02285,Medio,23,5.09,29.1,0
R2026-02286,Duro,37,5.3,38.3,0
R2026-02287,Blando,27,2.41,31.1,1
R2026-02288,Medio,1,5.0,28.0,1
R2026-02289,Duro,11,3.76,23.8,1
R2026-02290,,15,5.41,29.9,1
R2026-02291,Medio,18,3.42,46.2,1
R2026-02292,Blando,3,2.73,40.4,1
R2026-02293,Lluvia,15,2.66,50.5,0
R2026-02294,Lluvia,1,2.11,33.9,0
R2026-02295,Lluvia,36,4.07,33.7,0
R2026-02296,Medio,31,2.13,31.8,1
R2026-02297,Duro,3,5.86,24.9,1
R2026-02298,Lluvia,33,2.4,34.3,1
R2026-02299,Duro,15,5.02,53.2,1
R2026-02300,Duro,9,5.77,31.4,0
R2026-02301,Blando,39,3.95,25.6,1
R2026-02302,Duro,24,4.63,42.1,1
R2026-02303,Duro,21,,15.2,0
R2026-02304,Medio,17,4.78,21.4,1
R2026-02305,Lluvia,4,6.28,24.2,0
R2026-02306,Duro,35,5.05,31.9,0
R2026-02307,Medio,2,5.2,48.9,1
R2026-02308,Medio,-15,,18.1,0
R2026-02309,Medio,26,5.19,41.9,1
R2026-02310,Blando,27,5.16,41.6,1
R2026-02311,Blando,33,5.58,15.7,1
R2026-02312,Duro,12,3.99,47.7,1
R2026-02313,Blando,-15,6.38,,1
R2026-02314,Medio,42,4.17,27.8,0
R2026-02315,Medio,15,4.88,22.9,0
R2026-02316,Medio,4,6.47,45.2,1
R2026-02317,Blando,20,3.4,19.9,1
R2026-02318,Lluvia,7,,20.4,1
R2026-02319,Duro,17,4.08,44.2,1
R2026-02320,Duro,42,2.6,51.7,0
R2026-02321,Duro,20,2.65,47.3,1
R2026-02322,Lluvia,2,66.04,49.7,1
R2026-02323,Lluvia,8,3.92,25.3,1
R2026-02324,Medio,15,3.21,42.0,1
R2026-02325,Medio,10,3.6,44.5,0
R2026-02326,Duro,15,,52.4,0
R2026-02327,Duro,43,4.06,25.8,0
R2026-02328,Medio,13,5.93,30.7,0
R2026-02329,Blando,11,2.62,46.8,1
R2026-02330,Duro,32,2.45,16.7,0
R2026-02331,Medio,42,6.05,14.8,0
R2026-02332,Blando,11,3.84,28.4,1
R2026-02333,Medio,19,6.1,19.9,0
R2026-02334,Lluvia,26,4.27,32.5,0
R2026-02335,Lluvia,37,6.06,40.4,1
R2026-02336,Lluvia,12,3.11,14.6,1
R2026-02337,Blando,8,2.35,20.7,1
R2026-02338,Medio,8,6.17,23.0,1
R2026-02339,Medio,18,,46.7,1
R2026-02340,Medio,12,5.94,54.0,0
R2026-02341,Lluvia,34,2.54,20.0,0
R2026-02342,Lluvia,35,3.88,50.8,0
R2026-02343,Medio,32,4.57,38.2,1
R2026-02344,Blando,25,4.36,38.7,0
R2026-02345,Blando,22,6.33,16.6,1
R2026-02346,Medio,34,2.1,,0
R2026-02347,Duro,20,2.28,54.4,0
R2026-02348,Lluvia,32,4.74,14.1,1
R2026-02349,Lluvia,42,6.26,35.0,1
R2026-02350,Blando,3,2.61,41.6,1
R2026-02351,Duro,-13,4.44,30.9,0
R2026-02352,Lluvia,-4,4.68,33.2,0
R2026-02353,Medio,NaN,4.75,40.8,1
R2026-02354,Lluvia,14,4.38,28.8,0
R2026-02355,Blando,15,3.71,18.4,1
R2026-02356,Blando,9,4.61,47.2,1
R2026-02357,Duro,25,4.19,50.1,1
R2026-02358,Duro,42,6.25,15.1,0
R2026-02359,Duro,27,5.04,27.6,1
R2026-02360,Medio,11,50.73,48.0,1
R2026-02361,Lluvia,12,3.97,45.5,1
R2026-02362,Lluvia,NaN,2.7,44.4,1
R2026-02363,Duro,44,5.54,15.8,0
R2026-02364,Blando,45,6.47,51.2,0
R2026-02365,Duro,21,3.73,42.0,0
R2026-02366,Blando,44,4.39,14.2,0
R2026-02367,Medio,32,4.8,52.0,1
R2026-02368,Medio,24,2.13,22.6,0
R2026-02369,Duro,1,6.33,36.2,0
R2026-02370,Lluvia,44,4.7,20.4,0
R2026-02371,Lluvia,41,4.12,28.6,0
R2026-02372,Medio,45,3.25,54.0,1
R2026-02373,Blando,19,6.27,35.2,1
R2026-02374,Medio,16,3.92,47.0,1
R2026-02375,Medio,7,2.82,28.4,0
R2026-02376,Lluvia,35,3.77,38.8,0
R2026-02377,Blando,37,5.29,46.5,1
R2026-02378,Blando,26,2.73,41.1,1
R2026-02379,Duro,22,5.57,42.5,0
R2026-02380,Blando,3,4.58,45.4,0
R2026-02381,Duro,7,4.68,28.9,1
R2026-02382,Lluvia,4,,54.4,0
R2026-02383,Lluvia,4,3.11,48.7,1
R2026-02384,Lluvia,18,2.25,29.0,0
R2026-02385,Lluvia,9,2.17,53.6,1
R2026-02386,Medio,17,2.48,16.8,0
R2026-02387,Lluvia,5,5.71,25.7,1
R2026-02388,Lluvia,29,5.79,23.0,0
R2026-02389,Duro,15,3.27,48.0,1
R2026-02390,Blando,9,5.93,46.2,0
R2026-02391,Lluvia,-8,2.76,16.9,1
R2026-02392,Lluvia,NaN,4.31,49.4,0
R2026-02393,Lluvia,44,3.55,31.6,0
R2026-02394,Duro,17,4.85,24.6,0
R2026-02395,Medio,40,5.78,25.4,0
R2026-02396,Blando,,102.85,14.5,0
R2026-02397,Lluvia,,3.51,14.4,0
R2026-02398,Lluvia,17,2.55,28.2,0
R2026-02399,Blando,22,4.18,28.3,0
R2026-02400,Blando,26,4.78,27.4,0
R2026-02401,Medio,31,4.67,44.2,0
R2026-02402,Duro,41,3.16,34.1,0
R2026-02403,Medio,43,3.13,47.0,1
R2026-02404,Lluvia,24,5.31,21.5,0
R2026-02405,Blando,23,3.19,49.4,1
R2026-02406,Medio,25,6.0,51.4,1
R2026-02407,Duro,44,3.19,48.2,0
R2026-02408,Lluvia,25,5.57,44.7,0
R2026-02409,Medio,25,2.9,50.9,1
R2026-02410,Lluvia,28,4.83,27.2,0
R2026-02411,Duro,43,2.59,16.3,0
R2026-02412,Duro,2,3.79,35.0,0
R2026-02413,Duro,NaN,4.06,21.0,1
R2026-02414,Medio,3,3.25,22.5,1
R2026-02415,Blando,32,5.34,34.4,1
R2026-02416,Duro,1,4.37,28.4,1
R2026-02417,Blando,9,2.35,50.6,1
R2026-02418,Duro,39,4.16,18.9,0
R2026-02419,Duro,26,2.47,44.8,1
R2026-02420,Blando,10,3.13,26.5,0
R2026-02421,Duro,8,3.69,NaN,1
R2026-02422,Medio,26,5.36,25.2,1
R2026-02423,Blando,23,3.38,NaN,1
R2026-02424,Medio,38,2.99,36.9,1
R2026-02425,Blando,6,3.38,18.0,0
R2026-02426,Blando,14,5.12,41.7,1
R2026-02427,Lluvia,45,3.51,43.5,1
R2026-02428,Blando,42,6.39,48.1,1
R2026-02429,Blando,45,2.58,29.8,0
R2026-02430,Medio,11,2.35,44.7,1
R2026-02431,Blando,-9,4.89,29.2,0
R2026-02432,Lluvia,16,5.41,37.0,0
R2026-02433,Blando,4,2.86,38.4,1
R2026-02434,Blando,25,3.37,31.6,1
R2026-02435,Duro,13,4.57,46.2,1
R2026-02436,Blando,6,3.03,39.1,1
R2026-02437,Lluvia,26,4.69,42.4,1
R2026-02438,Blando,16,2.33,32.3,1
R2026-02439,Lluvia,41,2.9,51.3,1
R2026-02440,Lluvia,18,NaN,27.5,1
R2026-02441,Lluvia,38,3.52,32.7,1
R2026-02442,Duro,6,6.1,34.0,1
R2026-02443,Medio,20,2.26,26.9,1
R2026-02444,Medio,22,5.49,35.3,0
R2026-02445,Duro,8,3.4,47.3,1
R2026-02446,Duro,9,6.49,45.7,0
R2026-02447,Lluvia,16,2.12,18.1,0
R2026-02448,Medio,10,5.25,53.1,0
R2026-02449,Blando,3,2.91,45.4,0
R2026-02450,Blando,NaN,3.59,26.8,1
R2026-02451,Blando,40,2.19,49.0,1
R2026-02452,Blando,31,2.63,20.1,1
R2026-02453,Lluvia,6,6.16,43.9,1
R2026-02454,Blando,41,5.87,50.9,0
R2026-02455,Medio,20,3.4,38.0,0
R2026-02456,Medio,32,3.11,40.2,1
R2026-02457,Blando,10,4.65,38.4,0
R2026-02458,Duro,2,5.17,42.3,1
R2026-02459,Lluvia,23,3.94,24.6,1
R2026-02460,Medio,43,5.49,31.5,0
R2026-02461,Lluvia,14,,54.5,0
R2026-02462,Blando,42,2.82,34.8,1
R2026-02463,,15,4.93,47.1,1
R2026-02464,Lluvia,37,3.69,19.5,1
R2026-02465,Lluvia,26,6.0,29.8,1
R2026-02466,Medio,13,2.63,42.1,0
R2026-02467,Lluvia,4,2.96,19.0,0
R2026-02468,Medio,29,5.93,22.2,1
R2026-02469,Medio,26,2.69,24.8,0
R2026-02470,,18,2.13,15.4,0
R2026-02471,Medio,24,6.3,35.7,0
R2026-02472,Medio,NaN,,50.9,0
R2026-02473,Blando,3,6.42,42.7,1
R2026-02474,Blando,12,3.45,31.6,1
R2026-02475,Blando,42,4.69,23.6,0
R2026-02476,Duro,-10,4.51,20.2,0
R2026-02477,Lluvia,31,6.38,,1
R2026-02478,Blando,45,5.76,30.0,0
R2026-02479,Medio,16,6.09,35.4,0
