cliente_id,edad,tickets_soporte,metodo_pago,gasto_total,abandono
CLI-02097,42,7,Tarjeta,1243.62,1
CLI-02098,58,7,PayPal,571.6,0
CLI-02099,48,11,Tarjeta,6928.81,0
CLI-02100,58,12,Tarjeta,2997.61,1
CLI-02101,67,5,PayPal,330.47,1
CLI-02102,50,6,Transferencia,-390.81,1
CLI-02103,18,16,PayPal,7684.34,0
CLI-02104,54,4,,2807.56,1
CLI-02105,32,18,Transferencia,2413.44,0
CLI-02106,73,7,PayPal,4427.34,0
CLI-02107,34,2,PayPal,6439.35,1
CLI-02108,70,19,Transferencia,5458.32,1
CLI-02109,23,16,Tarjeta,3037.26,0
CLI-02110,79,5,PayPal,721.57,1
CLI-02111,26,15,Tarjeta,956.67,1
CLI-02112,,NaN,PayPal,5808.08,0
CLI-02113,41,9,Tarjeta,4276.49,1
CLI-02114,26,8,PayPal,1678.39,0
CLI-02115,71,16,Transferencia,3897.97,0
CLI-02116,25,3,Transferencia,5082.33,1
CLI-02117,74,19,PayPal,1647.86,1
CLI-02118,25,10,Transferencia,3218.62,1
CLI-02119,44,1,Transferencia,6918.35,1
CLI-02120,66,0,PayPal,7850.8,1
CLI-02121,62,1,Tarjeta,1858.57,0
CLI-02122,28,3,PayPal,3206.28,1
CLI-02123,34,2,Tarjeta,2363.22,0
CLI-02124,72,12,PayPal,NaN,0
CLI-02125,28,13,Transferencia,5706.66,0
CLI-02126,25,6,,3097.44,0
CLI-02127,43,0,PayPal,5844.65,0
CLI-02128,43,5,Tarjeta,-498.48,1
CLI-02129,68,0,PayPal,3576.66,1
CLI-02130,62,6,Transferencia,3785.22,1
CLI-02131,60,17,PayPal,2100.07,1
CLI-02132,40,11,PayPal,3403.6,1
CLI-02133,21,1,Tarjeta,3593.53,1
CLI-02134,48,17,Transferencia,5945.33,1
CLI-02135,31,14,Tarjeta,5328.57,1
CLI-02136,67,16,Transferencia,2331.33,1
CLI-02137,35,6,Tarjeta,7543.63,1
CLI-02138,24,11,Tarjeta,2953.11,0
CLI-02139,60,3,PayPal,4276.03,1
CLI-02140,23,3,Transferencia,3291.73,1
CLI-02141,43,11,Tarjeta,519.34,1
CLI-02142,18,20,Tarjeta,6876.86,1
CLI-02143,34,17,PayPal,2274.25,1
CLI-02144,30,2,Tarjeta,12.35,0
CLI-02145,74,14,,NaN,0
CLI-02146,,11,PayPal,3480.03,1
CLI-02147,69,1,Transferencia,4167.91,1
CLI-02148,41,2,Transferencia,7165.74,0
CLI-02149,61,10,Tarjeta,5748.0,0
CLI-02150,37,5,PayPal,5768.0,1
CLI-02151,66,2,Transferencia,6809.97,0
CLI-02152,53,1,PayPal,541.97,0
CLI-02153,76,19,PayPal,5132.29,0
CLI-02154,48,8,Tarjeta,314.29,1
CLI-02155,37,11,PayPal,3556.07,1
CLI-02156,72,11,Transferencia,7333.45,0
CLI-02157,19,14,Transferencia,4349.53,0
CLI-02158,80,19,PayPal,1429.18,1
CLI-02159,76,15,Tarjeta,4132.35,0
CLI-02160,56,2,PayPal,252.7,0
CLI-02161,44,1,Transferencia,3674.59,0
CLI-02162,18,18,Tarjeta,797.92,1
CLI-02163,40,15,Tarjeta,3630.77,1
CLI-02164,29,2,Tarjeta,4017.42,1
CLI-02165,28,4,PayPal,2019.63,0
CLI-02166,24,1,Tarjeta,3015.27,1
CLI-02167,43,11,Transferencia,334.89,0
CLI-02168,40,6,PayPal,3285.23,1
CLI-02169,68,20,PayPal,6011.64,0
CLI-02170,57,2,Tarjeta,4697.55,0
CLI-02171,22,9,Tarjeta,-104.24,0
CLI-02172,19,3,Tarjeta,6735.61,0
CLI-02173,72,4,PayPal,4649.45,1
CLI-02174,21,14,PayPal,1781.19,0
CLI-02175,30,19,Tarjeta,7348.0,0
CLI-02176,35,3,Transferencia,6555.45,1
CLI-02177,190,20,Transferencia,3578.87,0
CLI-02178,52,20,PayPal,1663.51,0
CLI-02179,42,3,PayPal,820.05,0
CLI-02180,29,15,Tarjeta,822.7,1
CLI-02181,150,3,PayPal,2607.07,0
CLI-02182,79,8,Tarjeta,6222.78,1
CLI-02183,24,12,PayPal,7737.89,0
CLI-02184,0,9,Tarjeta,802.25,1
CLI-02185,22,9,Tarjeta,6824.26,1
CLI-02186,57,19,PayPal,1788.55,0
CLI-02187,47,3,Tarjeta,2334.63,0
CLI-02188,33,9,Transferencia,3697.39,0
CLI-02189,71,15,Tarjeta,2878.04,0
CLI-02190,41,5,Tarjeta,,1
CLI-02191,20,6,Tarjeta,3000.92,1
CLI-02192,38,9,Tarjeta,821.23,1
CLI-02193,29,11,Tarjeta,3448.53,1
CLI-02194,71,6,Transferencia,3316.27,0
CLI-02195,56,18,PayPal,3980.58,0
CLI-02196,210,19,PayPal,3634.68,0
CLI-02197,22,1,Tarjeta,2620.15,1
CLI-02198,69,12,Transferencia,-38.87,1
CLI-02199,23,2,PayPal,-474.44,1
CLI-02200,46,7,Transferencia,2762.02,1
CLI-02201,52,4,,5639.12,0
CLI-02202,35,3,Tarjeta,1236.39,1
CLI-02203,60,19,PayPal,1243.62,1
CLI-02204,63,7,Tarjeta,6552.98,1
CLI-02205,,5,PayPal,2536.14,0
CLI-02206,62,8,PayPal,5799.48,0
CLI-02207,41,4,Tarjeta,NaN,0
CLI-02208,55,5,PayPal,1950.36,1
CLI-02209,22,20,PayPal,1102.98,1
CLI-02210,,6,PayPal,-159.12,0
CLI-02211,29,2,Tarjeta,-39.33,1
CLI-02212,54,8,Tarjeta,6669.79,0
CLI-02213,80,8,Tarjeta,6481.35,0
CLI-02214,65,12,Tarjeta,2535.15,0
CLI-02215,58,12,,7775.37,1
CLI-02216,33,14,Tarjeta,5129.09,0
CLI-02217,77,5,Transferencia,1357.35,0
CLI-02218,31,3,PayPal,2789.14,1
CLI-02219,49,4,Tarjeta,1567.93,0
CLI-02220,,11,Tarjeta,3018.69,0
CLI-02221,40,8,Transferencia,2658.73,0
CLI-02222,18,11,Transferencia,691.48,0
CLI-02223,26,1,Tarjeta,1933.07,1
CLI-02224,78,6,Transferencia,3460.42,1
CLI-02225,52,5,,3186.28,1
CLI-02226,36,5,PayPal,6216.37,0
CLI-02227,71,1,PayPal,5947.34,0
CLI-02228,30,13,PayPal,3082.48,1
CLI-02229,30,10,PayPal,7884.14,1
CLI-02230,68,16,Tarjeta,1756.7,1
CLI-02231,64,12,PayPal,1614.81,0
CLI-02232,53,2,Transferencia,1129.59,0
CLI-02233,37,8,Tarjeta,4557.97,0
CLI-02234,79,6,Transferencia,7482.89,1
CLI-02235,66,7,Tarjeta,891.62,1
CLI-02236,64,7,Tarjeta,157.98,1
CLI-02237,32,7,Transferencia,1501.29,0
CLI-02238,73,15,Tarjeta,1163.95,0
CLI-02239,32,18,PayPal,5579.25,1
CLI-02240,50,11,Transferencia,3477.44,0
CLI-02241,0,19,PayPal,3392.28,0
CLI-02242,44,13,Transferencia,,0
CLI-02243,NaN,19,Transferencia,6753.39,0
CLI-02244,-5,3,Transferencia,4006.42,0
CLI-02245,40,8,Transferencia,7254.34,0
CLI-02246,46,NaN,PayPal,1768.18,1
CLI-02247,20,1,Tarjeta,3708.23,0
CLI-02248,70,7,PayPal,7263.79,0
CLI-02249,,10,PayPal,6505.99,0
CLI-02250,80,6,,5117.82,0
CLI-02251,31,8,Transferencia,5307.74,1
CLI-02252,25,10,PayPal,4367.58,1
CLI-02253,47,9,Tarjeta,-491.86,1
CLI-02254,50,9,PayPal,7299.64,1
CLI-02255,210,11,PayPal,6022.19,0
CLI-02256,37,6,PayPal,2314.13,0
CLI-02257,51,13,Tarjeta,3049.92,0
CLI-02258,57,1,Transferencia,2913.34,0
CLI-02259,71,12,PayPal,5092.54,0
CLI-02260,58,0,Tarjeta,4044.54,0
CLI-02261,18,15,PayPal,1485.12,0
CLI-02262,40,5,PayPal,2281.08,0
CLI-02263,62,0,Tarjeta,7768.87,0
CLI-02264,46,18,Transferencia,1680.19,0
CLI-02265,58,12,PayPal,1188.16,1
CLI-02266,47,20,Tarjeta,3368.91,1
CLI-02267,70,6,PayPal,3537.97,0
CLI-02268,76,9,Transferencia,4721.51,1
CLI-02269,29,11,PayPal,4632.43,1
CLI-02270,43,13,PayPal,7428.78,0
CLI-02271,33,14,Transferencia,2810.57,0
CLI-02272,61,17,PayPal,1488.54,1
CLI-02273,50,20,,4123.99,0
CLI-02274,79,19,Tarjeta,1772.04,0
CLI-02275,45,17,PayPal,3750.51,0
CLI-02276,53,4,PayPal,4209.14,1
CLI-02277,25,5,,7937.26,0
CLI-02278,57,7,Transferencia,6923.74,1
CLI-02279,61,14,Transferencia,,0
CLI-02280,190,8,Transferencia,1317.78,1
CLI-02281,27,20,Transferencia,5799.45,1
CLI-02282,27,9,Tarjeta,800.55,1
CLI-02283,62,16,Tarjeta,6427.44,0
CLI-02284,72,16,Tarjeta,1382.24,0
CLI-02285,68,12,PayPal,4648.57,0
CLI-02286,53,5,PayPal,3028.67,0
CLI-02287,53,12,PayPal,6298.7,0
CLI-02288,48,11,PayPal,5173.71,1
CLI-02289,29,15,Tarjeta,7678.52,0
CLI-02290,25,8,Tarjeta,3591.02,1
CLI-02291,64,20,PayPal,1858.28,1
CLI-02292,64,NaN,PayPal,7092.78,0
CLI-02293,51,12,Tarjeta,6269.4,1
CLI-02294,78,8,Transferencia,5088.29,0
CLI-02295,20,3,PayPal,253.36,1
CLI-02296,39,0,Tarjeta,NaN,1
CLI-02297,60,15,Transferencia,4831.08,1
CLI-02298,NaN,0,Tarjeta,1456.14,0
CLI-02299,65,11,Tarjeta,5350.14,1
CLI-02300,25,9,Transferencia,7055.41,1
CLI-02301,75,11,,-58.38,0
CLI-02302,37,19,PayPal,1930.02,1
CLI-02303,78,3,Transferencia,6128.4,1
CLI-02304,53,9,Tarjeta,1405.43,0
CLI-02305,23,5,Tarjeta,2524.16,1
CLI-02306,18,3,,5601.26,0
CLI-02307,49,16,PayPal,3866.04,1
CLI-02308,28,14,PayPal,5877.88,1
CLI-02309,36,9,Tarjeta,564.47,0
CLI-02310,42,1,Transferencia,5326.75,1
CLI-02311,56,13,Tarjeta,4786.9,0
CLI-02312,49,2,Tarjeta,4499.19,0
CLI-02313,73,20,PayPal,4136.64,0
CLI-02314,33,10,Tarjeta,364.19,1
CLI-02315,67,10,Transferencia,5788.67,1
CLI-02316,25,11,Tarjeta,NaN,0
CLI-02317,NaN,17,PayPal,3873.81,1
CLI-02318,59,8,Transferencia,7449.06,1
CLI-02319,52,20,PayPal,53.49,0
CLI-02320,46,4,Transferencia,1918.17,0
CLI-02321,20,16,Transferencia,4991.57,1
CLI-02322,55,1,Tarjeta,6607.71,1
CLI-02323,,12,PayPal,4447.69,1
CLI-02324,39,18,PayPal,2427.95,0
CLI-02325,-5,14,Transferencia,2649.79,1
CLI-02326,,11,PayPal,4638.46,0
CLI-02327,63,5,PayPal,5389.21,1
CLI-02328,43,20,Transferencia,,0
CLI-02329,66,6,,3207.2,0
CLI-02330,65,7,Transferencia,5719.21,0
CLI-02331,74,16,Tarjeta,3381.18,1
CLI-02332,20,7,PayPal,4524.74,0
CLI-02333,37,10,PayPal,5136.99,1
CLI-02334,21,9,PayPal,3985.75,0
CLI-02335,77,12,Transferencia,3317.07,0
CLI-02336,24,7,Tarjeta,209.46,1
CLI-02337,46,19,PayPal,6167.58,1
CLI-02338,38,13,Transferencia,2855.12,0
CLI-02339,46,20,Tarjeta,7334.87,1
CLI-02340,54,5,Transferencia,3991.32,1
CLI-02341,33,9,PayPal,7485.0,0
CLI-02342,28,4,Transferencia,7685.68,0
CLI-02343,57,7,,3183.88,0
CLI-02344,74,5,Transferencia,NaN,0
CLI-02345,78,13,PayPal,5002.55,1
CLI-02346,57,2,PayPal,6097.08,1
CLI-02347,78,20,Tarjeta,,0
CLI-02348,34,15,PayPal,5037.98,0
CLI-02349,30,2,PayPal,822.44,0
CLI-02350,70,5,Tarjeta,5107.93,1
CLI-02351,35,18,Transferencia,,1
CLI-02352,58,8,Transferencia,4474.51,1
CLI-02353,,0,Transferencia,3715.99,1
CLI-02354,73,12,Tarjeta,2323.43,0
CLI-02355,28,7,Tarjeta,3372.8,0
CLI-02356,-5,0,Tarjeta,1894.83,1
CLI-02357,39,18,Tarjeta,1438.45,0
CLI-02358,25,17,Transferencia,7171.49,0
CLI-02359,72,14,Tarjeta,-488.35,0
CLI-02360,30,6,Tarjeta,5813.45,0
CLI-02361,80,9,Tarjeta,2530.56,1
CLI-02362,44,16,Tarjeta,4771.36,1
CLI-02363,41,4,PayPal,899.83,1
CLI-02364,37,18,Tarjeta,6509.97,0
CLI-02365,48,14,Tarjeta,950.22,1
CLI-02366,69,1,Transferencia,1683.57,1
CLI-02367,32,3,PayPal,444.23,0
CLI-02368,74,0,PayPal,1598.72,1
CLI-02369,51,12,Transferencia,3150.33,0
CLI-02370,54,1,Tarjeta,856.98,1
CLI-02371,35,9,Tarjeta,12.21,0
CLI-02372,,1,Transferencia,3180.18,0
CLI-02373,20,3,PayPal,3130.21,1
CLI-02374,55,14,PayPal,4109.63,0
CLI-02375,210,5,PayPal,2103.77,1
CLI-02376,69,18,Transferencia,4306.69,0
CLI-02377,25,2,Tarjeta,4503.52,0
CLI-02378,80,2,PayPal,2513.77,0
CLI-02379,30,2,Transferencia,2545.22,0
CLI-02380,150,0,,3604.28,1
CLI-02381,54,3,Transferencia,6279.01,1
CLI-02382,75,11,Transferencia,5012.7,1
CLI-02383,26,3,Transferencia,6607.21,1
CLI-02384,51,13,Tarjeta,4437.17,0
CLI-02385,43,14,Transferencia,1978.6,1
CLI-02386,49,5,Tarjeta,5959.87,0
CLI-02387,20,14,Tarjeta,735.69,0
CLI-02388,51,NaN,Transferencia,6768.82,0
CLI-02389,53,5,Tarjeta,7373.73,0
CLI-02390,20,6,,1303.01,0
CLI-02391,58,19,PayPal,6526.38,0
CLI-02392,22,2,Tarjeta,1700.68,0
CLI-02393,62,19,Tarjeta,810.88,1
CLI-02394,78,6,PayPal,7327.55,1
CLI-02395,34,20,Transferencia,4130.42,1
CLI-02396,24,3,Tarjeta,2249.48,0
CLI-02397,35,19,PayPal,1898.55,0
CLI-02398,20,4,Tarjeta,3763.36,1
CLI-02399,48,18,,5710.58,0
CLI-02400,51,19,Tarjeta,6877.6,0
CLI-02401,,16,Transferencia,5532.17,1
CLI-02402,41,,,5094.95,0
CLI-02403,27,6,PayPal,1456.76,1
CLI-02404,76,12,Tarjeta,4453.1,0
CLI-02405,32,8,PayPal,6460.02,0
CLI-02406,51,20,PayPal,5121.24,1
CLI-02407,54,14,PayPal,989.74,1
CLI-02408,34,11,PayPal,5874.86,0
CLI-02409,49,16,Tarjeta,3186.93,0
CLI-02410,40,6,,2606.35,1
CLI-02411,57,16,Tarjeta,3388.49,0
CLI-02412,77,NaN,Transferencia,4080.18,1
CLI-02413,19,11,Tarjeta,-68.75,1
CLI-02414,42,0,PayPal,1988.17,1
CLI-02415,33,6,Transferencia,4680.84,0
CLI-02416,58,14,PayPal,6775.63,0
CLI-02417,68,7,Tarjeta,5772.52,0
CLI-02418,77,7,Transferencia,6578.94,1
CLI-02419,59,19,Transferencia,3455.01,0
CLI-02420,26,14,Transferencia,152.7,1
CLI-02421,43,6,Tarjeta,2803.47,0
CLI-02422,26,3,Transferencia,6226.7,0
CLI-02423,62,19,Transferencia,7650.58,0
CLI-02424,44,9,Transferencia,,1
CLI-02425,34,19,Transferencia,551.66,1
CLI-02426,73,10,Tarjeta,6727.53,1
CLI-02427,29,12,Transferencia,5297.09,1
CLI-02428,72,7,Transferencia,7400.46,0
CLI-02429,210,3,Tarjeta,751.2,1
CLI-02430,60,6,PayPal,1607.31,0
CLI-02431,41,0,PayPal,4614.66,1
CLI-02432,21,6,PayPal,2678.95,0
CLI-02433,54,10,Transferencia,2526.61,1
CLI-02434,20,12,PayPal,6365.33,1
CLI-02435,19,9,PayPal,5090.27,0
CLI-02436,34,16,Transferencia,5898.46,0
CLI-02437,21,8,Transferencia,2056.42,1
CLI-02438,30,12,Tarjeta,4852.1,0
CLI-02439,64,4,PayPal,5311.07,0
CLI-02440,66,3,PayPal,597.47,0
CLI-02441,46,11,PayPal,4112.21,0
CLI-02442,79,18,Tarjeta,5196.45,1
CLI-02443,18,18,Transferencia,6388.76,1
CLI-02444,78,9,PayPal,5568.14,0
CLI-02445,71,19,Transferencia,3653.88,1
CLI-02446,210,2,Tarjeta,6072.27,0
CLI-02447,42,10,Tarjeta,3283.51,1
CLI-02448,37,16,Tarjeta,5596.85,0
CLI-02449,40,19,Tarjeta,3968.53,1
CLI-02450,45,6,Transferencia,6642.54,0
CLI-02451,24,10,PayPal,3517.35,0
CLI-02452,24,11,PayPal,7801.6,1
CLI-02453,71,8,Tarjeta,2477.88,1
CLI-02454,59,17,Tarjeta,4128.21,1
CLI-02455,74,20,PayPal,6811.49,1
CLI-02456,24,14,PayPal,7748.84,1
CLI-02457,,8,Transferencia,2013.6,0
CLI-02458,22,0,Transferencia,6751.08,0
CLI-02459,59,15,Transferencia,6920.89,1
CLI-02460,24,0,PayPal,2804.84,0
CLI-02461,21,0,Tarjeta,7064.06,1
CLI-02462,46,12,Tarjeta,1982.83,1
CLI-02463,40,15,Tarjeta,543.02,0
CLI-02464,49,18,Tarjeta,7233.75,0
CLI-02465,57,19,PayPal,7727.64,1
CLI-02466,71,10,Transferencia,6369.56,1
CLI-02467,38,3,PayPal,NaN,1
CLI-02468,23,7,PayPal,2306.01,0
CLI-02469,18,11,Tarjeta,1372.87,0
CLI-02470,79,17,PayPal,7698.03,1
CLI-02471,26,NaN,Tarjeta,6588.35,0
CLI-02472,51,15,Tarjeta,177.67,1
CLI-02473,63,8,Transferencia,5386.14,1
CLI-02474,62,1,Tarjeta,1395.54,0
CLI-02475,68,16,Tarjeta,3275.72,0
CLI-02476,58,16,Tarjeta,5283.3,0
CLI-02477,41,0,Tarjeta,271.72,0
CLI-02478,34,0,Tarjeta,2066.72,1
CLI-02479,47,1,Transferencia,7456.75,0
CLI-02480,67,13,Transferencia,2863.63,0
CLI-02481,26,19,Tarjeta,5748.93,0
CLI-02482,24,11,Tarjeta,2391.3,0
CLI-02483,21,1,PayPal,960.03,0
CLI-02484,42,3,PayPal,3772.85,1
CLI-02485,47,9,PayPal,6903.7,0
CLI-02486,31,12,PayPal,1226.65,0
CLI-02487,40,11,Transferencia,711.56,0
CLI-02488,64,2,Transferencia,4554.28,1
CLI-02489,56,10,PayPal,2336.97,1
CLI-02490,51,19,PayPal,2272.74,0
CLI-02491,38,2,PayPal,4762.73,1
CLI-02492,80,1,PayPal,4439.94,1
CLI-02493,47,7,Tarjeta,6790.25,1
CLI-02494,74,5,Transferencia,4217.16,1
CLI-02495,28,14,PayPal,4050.69,1
CLI-02496,25,5,Tarjeta,6271.81,0
CLI-02497,54,12,Transferencia,476.55,1
CLI-02498,25,10,PayPal,7539.79,1
CLI-02499,53,9,PayPal,1468.28,0
CLI-02500,57,0,Transferencia,1230.98,0
CLI-02501,33,0,,3844.62,1
CLI-02502,29,15,Tarjeta,6550.94,1
CLI-02503,21,11,Transferencia,6993.14,1
CLI-02504,26,6,PayPal,-378.7,1
CLI-02505,70,19,PayPal,4961.98,0
CLI-02506,26,7,Tarjeta,1675.89,0
CLI-02507,18,2,Transferencia,302.78,1
CLI-02508,66,17,Tarjeta,814.26,1
CLI-02509,71,11,PayPal,,0
CLI-02510,39,7,Transferencia,933.28,0
CLI-02511,52,0,Tarjeta,417.5,0
CLI-02512,210,19,Tarjeta,3924.4,1
CLI-02513,36,13,,3651.31,0
CLI-02514,42,17,PayPal,1331.44,0
CLI-02515,37,13,Transferencia,325.56,1
CLI-02516,20,20,Transferencia,3715.58,0
CLI-02517,79,20,Tarjeta,5149.41,1
CLI-02518,59,9,Tarjeta,5520.06,1
CLI-02519,,2,Transferencia,862.88,0
CLI-02520,35,10,PayPal,6185.09,0
CLI-02521,70,5,Transferencia,7103.88,1
CLI-02522,55,NaN,Tarjeta,898.61,0
CLI-02523,29,8,PayPal,6618.13,1
CLI-02524,NaN,10,,4411.36,1
CLI-02525,190,9,PayPal,4811.75,0
CLI-02526,76,0,PayPal,923.65,0
CLI-02527,28,4,Transferencia,3128.42,1
CLI-02528,77,15,PayPal,6181.81,1
CLI-02529,56,15,Transferencia,NaN,1
CLI-02530,67,13,Tarjeta,2715.41,1
CLI-02531,51,5,Tarjeta,1751.87,0
CLI-02532,190,8,Transferencia,6924.95,1
CLI-02533,22,8,Tarjeta,7769.9,1
CLI-02534,21,10,Tarjeta,4080.54,0
CLI-02535,56,12,Transferencia,2588.02,1
CLI-02536,59,9,Transferencia,5737.0,0
CLI-02537,75,2,Tarjeta,6385.28,0
CLI-02538,,10,PayPal,4810.62,0
CLI-02539,,1,Tarjeta,7304.67,1
CLI-02540,27,16,Transferencia,7180.74,0
CLI-02541,28,14,PayPal,6165.11,1
CLI-02542,25,15,PayPal,7740.4,1
CLI-02543,150,7,PayPal,354.52,1
CLI-02544,25,20,PayPal,3907.68,0
CLI-02545,NaN,17,PayPal,-42.31,0
CLI-02546,61,11,Tarjeta,1080.97,1
CLI-02547,31,17,Transferencia,2346.96,0
CLI-02548,74,5,Tarjeta,6328.17,1
CLI-02549,70,15,Transferencia,3714.11,0
CLI-02550,29,5,PayPal,7589.51,0
CLI-02551,36,2,Transferencia,3449.63,0
CLI-02552,37,0,PayPal,4685.54,1
CLI-02553,70,19,PayPal,-64.0,1
CLI-02554,49,NaN,PayPal,1103.62,0
CLI-02555,53,4,Transferencia,4615.75,1
CLI-02556,42,16,PayPal,-391.89,0
CLI-02557,79,12,,5429.08,0
CLI-02558,63,7,PayPal,3167.67,0
CLI-02559,53,15,PayPal,7081.21,1
CLI-02560,23,17,PayPal,3486.23,0
CLI-02561,30,5,Tarjeta,3327.12,0
CLI-02562,35,16,Transferencia,1022.29,0
CLI-02563,69,16,Transferencia,934.1,1
CLI-02564,60,12,Transferencia,2923.98,0
CLI-02565,39,1,Transferencia,5954.56,1
CLI-02566,20,13,,-367.51,1
CLI-02567,45,20,PayPal,2316.42,1
CLI-02568,79,12,Transferencia,4176.44,0
CLI-02569,56,15,Transferencia,7219.27,1
CLI-02570,67,7,Transferencia,1814.73,1
CLI-02571,65,15,PayPal,7160.35,0
CLI-02572,54,11,Transferencia,7323.03,1
CLI-02573,19,19,Transferencia,5613.32,0
CLI-02574,72,NaN,PayPal,6573.15,0
CLI-02575,26,4,Transferencia,3554.77,0
CLI-02576,76,6,Tarjeta,4040.45,1
CLI-02577,33,17,Tarjeta,763.39,1
CLI-02578,37,7,PayPal,-189.82,0
CLI-02579,64,18,PayPal,1298.43,1
CLI-02580,61,18,PayPal,4557.36,0
CLI-02581,53,18,Transferencia,4770.83,1
CLI-02582,76,15,PayPal,3919.24,0
CLI-02583,71,8,PayPal,1021.88,0
CLI-02584,210,18,Tarjeta,3760.36,0
CLI-02585,73,0,PayPal,605.0,1
CLI-02586,62,10,Tarjeta,5100.42,0
CLI-02587,43,4,Tarjeta,6894.39,1
CLI-02588,37,18,PayPal,4027.05,1
CLI-02589,68,16,Transferencia,4675.87,1
CLI-02590,22,19,Tarjeta,306.05,1
CLI-02591,42,8,Transferencia,4653.33,1
CLI-02592,65,18,Tarjeta,4324.57,0
CLI-02593,65,1,Transferencia,353.88,1
CLI-02594,35,17,Transferencia,1509.66,0
CLI-02595,52,13,Transferencia,7033.5,1
CLI-02596,28,4,PayPal,6715.36,1
CLI-02597,74,6,Transferencia,-12.49,0
CLI-02598,70,6,PayPal,2269.64,1
CLI-02599,49,0,Tarjeta,3258.97,0
CLI-02600,58,,Tarjeta,3472.35,0
CLI-02601,52,5,Transferencia,7569.55,1
CLI-02602,23,3,PayPal,5341.53,1
CLI-02603,73,NaN,PayPal,3416.91,1
CLI-02604,46,14,Transferencia,3801.24,0
CLI-02605,67,20,Tarjeta,5972.78,1
CLI-02606,26,NaN,Tarjeta,2083.24,0
CLI-02607,20,7,Transferencia,3462.72,0
CLI-02608,73,16,Transferencia,3416.02,0
CLI-02609,44,14,PayPal,1953.31,0
CLI-02610,41,16,PayPal,863.42,0
CLI-02611,32,18,PayPal,5667.29,0
CLI-02612,63,12,Transferencia,,0
CLI-02613,48,19,PayPal,1087.21,1
CLI-02614,72,8,PayPal,7201.61,0
CLI-02615,24,19,Transferencia,1349.85,0
CLI-02616,NaN,6,PayPal,6093.31,0
CLI-02617,79,18,Transferencia,5780.83,1
CLI-02618,58,1,Tarjeta,827.35,1
CLI-02619,NaN,4,PayPal,1197.28,0
CLI-02620,67,9,Transferencia,622.19,1
CLI-02621,50,2,Tarjeta,309.03,0
CLI-02622,23,9,Tarjeta,136.77,1
CLI-02623,210,9,PayPal,6621.66,0
CLI-02624,77,13,Tarjeta,2738.9,0
CLI-02625,42,0,PayPal,6531.98,0
CLI-02626,43,17,Transferencia,7658.9,1
CLI-02627,-5,5,PayPal,-359.81,0
CLI-02628,53,20,Tarjeta,2774.01,1
CLI-02629,36,0,PayPal,7261.39,1
CLI-02630,52,NaN,,2912.61,0
CLI-02631,58,1,PayPal,3662.67,1
CLI-02632,67,8,PayPal,-211.96,0
CLI-02633,49,8,Transferencia,747.27,1
CLI-02634,25,15,Transferencia,4734.11,1
CLI-02635,,4,PayPal,24.68,1
CLI-02636,24,19,PayPal,4133.64,1
CLI-02637,59,4,PayPal,5767.47,1
CLI-02638,51,17,Tarjeta,-311.06,0
CLI-02639,59,3,Tarjeta,7696.36,1
CLI-02640,37,11,PayPal,3364.29,0
CLI-02641,18,15,Tarjeta,6455.72,1
CLI-02642,36,7,Transferencia,4110.32,0
CLI-02643,63,0,Tarjeta,6963.91,0
CLI-02644,190,11,Transferencia,,1
CLI-02645,66,6,Transferencia,7804.23,0
CLI-02646,28,11,PayPal,6712.93,0
CLI-02647,33,10,Tarjeta,6070.13,0
CLI-02648,60,17,Transferencia,3495.41,0
CLI-02649,55,12,Transferencia,5338.18,1
CLI-02650,38,16,PayPal,4494.93,1
CLI-02651,66,6,Tarjeta,3988.75,0
CLI-02652,36,20,Tarjeta,4473.72,0
CLI-02653,29,7,,4529.57,1
CLI-02654,61,0,Tarjeta,2117.4,0
CLI-02655,30,1,Transferencia,3856.46,0
CLI-02656,53,7,Tarjeta,7523.51,1
CLI-02657,37,10,Transferencia,4730.17,1
CLI-02658,59,20,PayPal,6149.81,1
CLI-02659,73,12,Transferencia,920.4,0
CLI-02660,25,,Transferencia,7272.46,0
CLI-02661,33,0,PayPal,2316.58,1
CLI-02662,58,15,Transferencia,-24.69,1
CLI-02663,48,15,Transferencia,5227.85,0
CLI-02664,38,14,PayPal,4221.37,1
CLI-02665,79,4,Tarjeta,7710.54,0
CLI-02666,45,4,Transferencia,-41.38,0
CLI-02667,18,9,PayPal,153.76,0
CLI-02668,72,20,Transferencia,2196.01,0
CLI-02669,64,6,,7801.66,0
CLI-02670,52,15,Transferencia,2292.86,1
CLI-02671,41,13,Tarjeta,318.85,1
CLI-02672,56,13,Transferencia,4282.03,0
CLI-02673,75,14,Transferencia,5327.34,0
CLI-02674,43,14,Transferencia,5922.74,0
CLI-02675,65,18,Tarjeta,7083.36,1
CLI-02676,24,5,Tarjeta,NaN,0
CLI-02677,44,6,Transferencia,4877.51,1
CLI-02678,37,3,Tarjeta,573.47,1
CLI-02679,75,14,Transferencia,391.12,0
CLI-02680,64,10,Transferencia,7101.64,1
CLI-02681,37,6,Transferencia,7846.47,0
CLI-02682,19,14,Tarjeta,3534.63,0
CLI-02683,33,4,PayPal,3064.77,1
CLI-02684,18,12,Transferencia,5545.83,1
CLI-02685,47,17,PayPal,2290.16,0
CLI-02686,47,10,Tarjeta,4016.15,1
CLI-02687,67,2,Transferencia,6750.15,0
CLI-02688,18,3,PayPal,6000.9,0
