nodo_id,distro_linux,uso_cpu_pct,uso_ram_gb,temperatura_c,fallo_sistema
SRV-04175,Fedora,45.1,30.4,49.6,1
SRV-04176,Fedora,5.8,21.0,74.3,0
SRV-04177,Fedora,78.4,4.7,78.6,0
SRV-04178,Arch,63.7,32.4,78.7,0
SRV-04179,CachyOS,638.8,9.2,69.6,0
SRV-04180,Arch,,35.8,89.9,0
SRV-04181,Ubuntu,96.3,62.9,78.2,1
SRV-04182,Ubuntu,505.6,60.2,83.6,0
SRV-04183,CachyOS,8.7,27.1,87.3,1
SRV-04184,Ubuntu,63.9,19.2,81.5,0
SRV-04185,CachyOS,73.4,43.6,42.1,0
SRV-04186,Ubuntu,90.2,9.9,84.9,1
SRV-04187,Ubuntu,10.7,33.1,48.6,1
SRV-04188,Arch,59.4,35.6,61.5,0
SRV-04189,Ubuntu,37.9,19.4,67.7,0
SRV-04190,Ubuntu,4.7,10.1,68.7,0
SRV-04191,Arch,29.0,30.5,73.1,1
SRV-04192,CachyOS,69.4,2.3,67.3,0
SRV-04193,Arch,8.1,22.7,40.0,1
SRV-04194,Arch,88.0,NaN,,1
SRV-04195,Ubuntu,37.8,47.7,424.4,0
SRV-04196,CachyOS,22.2,35.2,90.2,1
SRV-04197,Fedora,24.1,12.0,NaN,0
SRV-04198,Arch,54.1,28.5,72.8,0
SRV-04199,Fedora,18.1,25.0,50.9,0
SRV-04200,Fedora,82.7,19.0,47.8,0
SRV-04201,Ubuntu,66.0,6.1,,1
SRV-04202,Fedora,36.6,38.6,69.0,0
SRV-04203,Fedora,24.9,55.9,53.5,1
SRV-04204,Ubuntu,856.6,24.6,47.9,0
SRV-04205,Arch,8.3,26.0,40.7,1
SRV-04206,Fedora,6.3,58.0,46.4,1
SRV-04207,Ubuntu,72.7,7.9,81.9,0
SRV-04208,Arch,36.5,30.2,41.5,1
SRV-04209,Fedora,91.8,41.4,37.0,0
SRV-04210,Arch,5.7,,73.0,1
SRV-04211,Fedora,NaN,53.5,48.8,1
SRV-04212,Fedora,92.2,41.9,60.5,0
SRV-04213,Fedora,2.5,24.1,28.4,0
SRV-04214,,23.0,36.7,83.6,0
SRV-04215,CachyOS,89.0,1.7,43.2,0
SRV-04216,Ubuntu,757.2,62.4,81.1,1
SRV-04217,Arch,24.5,59.7,60.1,0
SRV-04218,Fedora,52.7,15.7,33.7,0
SRV-04219,Fedora,89.3,19.5,57.1,1
SRV-04220,Fedora,93.9,48.4,48.9,1
SRV-04221,CachyOS,35.8,36.3,43.8,1
SRV-04222,Ubuntu,80.5,42.5,39.8,0
SRV-04223,Arch,65.0,58.3,91.5,1
SRV-04224,CachyOS,16.4,15.6,57.3,1
SRV-04225,CachyOS,20.3,54.8,59.0,1
SRV-04226,Fedora,15.8,40.0,52.2,1
SRV-04227,Ubuntu,51.2,18.5,46.4,0
SRV-04228,Ubuntu,48.8,44.4,47.3,1
SRV-04229,Ubuntu,30.0,4.7,63.5,1
SRV-04230,Fedora,8.4,63.8,45.7,0
SRV-04231,Fedora,11.5,58.4,283.8,0
SRV-04232,CachyOS,28.8,14.8,86.1,1
SRV-04233,CachyOS,14.8,34.9,87.7,0
SRV-04234,Ubuntu,41.6,45.2,71.5,0
SRV-04235,CachyOS,48.0,57.2,57.6,0
SRV-04236,Fedora,46.2,26.8,78.5,0
SRV-04237,Fedora,63.4,30.9,41.7,0
SRV-04238,CachyOS,55.2,41.5,63.2,0
SRV-04239,CachyOS,22.4,,69.6,0
SRV-04240,CachyOS,76.5,26.9,77.0,0
SRV-04241,CachyOS,24.3,29.5,69.8,0
SRV-04242,Ubuntu,77.9,42.0,75.5,0
SRV-04243,CachyOS,32.5,52.1,59.4,1
SRV-04244,Fedora,37.9,56.9,28.2,0
SRV-04245,Arch,82.7,6.8,52.1,1
SRV-04246,CachyOS,80.2,13.7,39.8,0
SRV-04247,Ubuntu,20.0,49.3,52.5,0
SRV-04248,Arch,93.3,2.6,49.6,1
SRV-04249,CachyOS,68.0,46.2,88.4,1
SRV-04250,Ubuntu,49.1,2.8,58.0,0
SRV-04251,Fedora,3.3,20.4,62.3,0
SRV-04252,Ubuntu,17.9,12.7,37.9,0
SRV-04253,Ubuntu,9.7,22.9,49.0,0
SRV-04254,Arch,4.5,33.2,60.3,0
SRV-04255,Ubuntu,578.6,15.9,61.5,1
SRV-04256,Ubuntu,41.8,36.7,84.5,1
SRV-04257,Ubuntu,23.5,4.4,75.6,0
SRV-04258,Ubuntu,15.7,50.6,92.4,1
SRV-04259,Arch,94.2,4.4,88.4,0
SRV-04260,Arch,88.9,42.1,74.5,1
SRV-04261,Ubuntu,77.4,52.3,30.2,1
SRV-04262,CachyOS,18.7,36.4,69.2,1
SRV-04263,Arch,40.1,45.2,70.1,0
SRV-04264,Fedora,28.9,61.2,59.7,1
SRV-04265,Arch,581.7,58.3,46.2,0
SRV-04266,CachyOS,79.8,25.2,28.4,1
SRV-04267,Fedora,14.6,5.8,86.9,0
SRV-04268,CachyOS,95.3,26.8,40.6,0
SRV-04269,Fedora,53.5,46.4,88.6,1
SRV-04270,Arch,53.3,46.3,78.0,1
SRV-04271,Arch,91.3,3.2,78.9,1
SRV-04272,CachyOS,70.8,14.3,94.8,0
SRV-04273,,18.2,12.4,54.8,0
SRV-04274,Arch,33.0,54.9,91.2,0
SRV-04275,CachyOS,51.4,40.2,,0
SRV-04276,CachyOS,57.7,20.4,71.1,0
SRV-04277,Ubuntu,78.3,61.2,34.1,0
SRV-04278,CachyOS,78.6,32.1,43.7,1
SRV-04279,Ubuntu,77.6,45.3,65.6,0
SRV-04280,Ubuntu,42.6,43.3,77.9,1
SRV-04281,Arch,3.5,2.2,54.1,0
SRV-04282,CachyOS,,40.0,91.0,0
SRV-04283,CachyOS,18.5,43.5,47.0,1
SRV-04284,Fedora,88.4,22.2,33.7,0
SRV-04285,CachyOS,53.5,19.5,92.8,0
SRV-04286,Fedora,5.3,53.9,,1
SRV-04287,Ubuntu,8.5,56.6,70.1,0
SRV-04288,CachyOS,46.3,50.3,50.4,0
SRV-04289,Arch,62.7,40.5,76.1,0
SRV-04290,Fedora,26.5,11.4,291.7,1
SRV-04291,Arch,40.8,58.4,52.9,1
SRV-04292,Fedora,38.7,7.0,42.9,1
SRV-04293,Ubuntu,19.8,18.0,48.1,1
SRV-04294,CachyOS,32.2,17.2,29.8,1
SRV-04295,Ubuntu,94.3,14.7,78.7,0
SRV-04296,CachyOS,89.5,17.2,48.9,1
SRV-04297,Ubuntu,14.8,11.0,67.1,1
SRV-04298,Ubuntu,777.2,8.7,51.2,0
SRV-04299,CachyOS,82.0,25.7,62.9,0
SRV-04300,CachyOS,35.4,45.0,77.5,1
SRV-04301,Arch,78.0,56.5,79.3,0
SRV-04302,Fedora,65.7,26.2,73.1,1
SRV-04303,Fedora,92.0,59.7,93.8,1
SRV-04304,Arch,82.5,4.0,31.8,0
SRV-04305,CachyOS,75.4,20.9,45.5,1
SRV-04306,Fedora,17.7,8.0,NaN,0
SRV-04307,Ubuntu,26.7,28.4,72.3,1
SRV-04308,Fedora,94.8,16.2,91.6,1
SRV-04309,Arch,46.8,9.9,59.2,1
SRV-04310,Ubuntu,12.5,5.9,28.2,1
SRV-04311,CachyOS,42.1,59.8,91.7,1
SRV-04312,CachyOS,716.5,32.4,,1
SRV-04313,Arch,39.9,30.9,71.7,1
SRV-04314,CachyOS,56.0,2.4,63.0,1
SRV-04315,CachyOS,20.9,29.5,94.3,1
SRV-04316,Ubuntu,14.0,31.3,42.4,1
SRV-04317,CachyOS,21.8,30.2,52.6,0
SRV-04318,Ubuntu,66.7,37.6,70.5,1
SRV-04319,CachyOS,32.3,18.6,38.2,0
SRV-04320,CachyOS,61.6,29.7,74.7,0
SRV-04321,Fedora,95.6,12.0,67.0,0
SRV-04322,CachyOS,17.2,37.8,76.5,0
SRV-04323,Arch,67.8,25.4,35.2,1
SRV-04324,Fedora,54.7,24.6,62.1,0
SRV-04325,Fedora,890.6,51.0,69.8,1
SRV-04326,Ubuntu,763.3,,53.4,0
SRV-04327,CachyOS,4.6,30.8,92.3,1
SRV-04328,Fedora,13.9,3.6,51.0,0
SRV-04329,Ubuntu,41.0,53.4,55.3,0
SRV-04330,Ubuntu,NaN,NaN,66.2,1
SRV-04331,Arch,,43.3,37.7,1
SRV-04332,Arch,90.8,62.2,53.2,1
SRV-04333,Fedora,18.3,24.5,73.3,0
SRV-04334,Fedora,79.1,1.3,38.1,1
SRV-04335,Ubuntu,61.5,NaN,50.9,0
SRV-04336,Ubuntu,59.7,3.1,52.5,0
SRV-04337,CachyOS,86.2,12.7,62.2,1
SRV-04338,Ubuntu,92.2,39.1,38.7,1
SRV-04339,Arch,4.6,6.4,70.2,1
SRV-04340,Arch,80.6,36.3,87.0,0
SRV-04341,CachyOS,18.4,5.9,63.3,1
SRV-04342,Ubuntu,52.5,33.7,85.8,1
SRV-04343,Fedora,43.4,31.1,40.5,0
SRV-04344,Arch,70.0,48.6,32.8,0
SRV-04345,Fedora,48.1,31.8,74.3,1
SRV-04346,Fedora,,14.0,79.2,0
SRV-04347,Fedora,53.4,21.8,94.3,0
SRV-04348,CachyOS,80.9,35.1,40.0,0
SRV-04349,Fedora,NaN,,90.9,1
SRV-04350,CachyOS,86.1,50.3,44.5,0
SRV-04351,Arch,83.8,30.0,44.8,1
SRV-04352,Fedora,66.4,46.2,,0
SRV-04353,Ubuntu,44.6,18.2,33.4,1
SRV-04354,CachyOS,69.0,52.7,85.9,0
SRV-04355,CachyOS,53.5,6.0,35.5,1
SRV-04356,CachyOS,26.5,13.7,74.4,1
SRV-04357,Ubuntu,,4.0,46.6,0
SRV-04358,Ubuntu,38.5,39.9,71.8,1
SRV-04359,Arch,17.5,8.5,53.6,1
SRV-04360,Ubuntu,76.0,36.5,76.6,1
SRV-04361,Ubuntu,24.6,47.8,46.0,0
SRV-04362,Ubuntu,42.2,59.5,59.7,1
SRV-04363,Arch,15.6,27.8,90.3,0
SRV-04364,Ubuntu,85.9,26.3,74.5,1
SRV-04365,Fedora,,40.4,32.9,0
SRV-04366,Fedora,NaN,23.3,71.3,1
SRV-04367,CachyOS,72.4,7.8,91.1,1
SRV-04368,Ubuntu,NaN,61.8,33.0,1
SRV-04369,Ubuntu,24.6,30.0,54.0,1
SRV-04370,Fedora,80.9,42.8,86.7,0
SRV-04371,Fedora,98.0,34.7,29.8,0
SRV-04372,Arch,88.4,40.4,31.4,0
SRV-04373,Arch,46.0,60.8,76.7,1
SRV-04374,Fedora,60.6,54.4,,1
SRV-04375,CachyOS,80.0,24.1,83.7,0
SRV-04376,Ubuntu,74.2,4.2,61.7,1
SRV-04377,CachyOS,81.3,40.8,43.8,1
SRV-04378,Fedora,37.9,28.0,38.2,1
SRV-04379,Ubuntu,60.7,1.1,89.5,1
SRV-04380,Arch,11.7,53.0,31.9,1
SRV-04381,Arch,39.1,20.8,75.0,1
SRV-04382,Ubuntu,17.4,45.0,69.0,0
SRV-04383,Fedora,59.0,48.0,80.1,0
SRV-04384,Fedora,30.5,42.2,76.7,0
SRV-04385,Fedora,22.0,7.3,77.3,1
SRV-04386,Arch,89.1,51.9,77.4,1
SRV-04387,Ubuntu,29.7,1.1,47.7,1
SRV-04388,Arch,30.8,4.1,53.6,1
SRV-04389,Ubuntu,11.7,1.1,66.4,1
SRV-04390,Fedora,95.0,54.3,59.8,1
SRV-04391,CachyOS,54.6,34.1,94.9,1
SRV-04392,Ubuntu,89.5,16.1,NaN,0
SRV-04393,Arch,35.2,53.5,47.3,0
SRV-04394,CachyOS,41.4,8.8,31.6,0
SRV-04395,Arch,63.2,13.2,70.0,0
SRV-04396,Ubuntu,13.3,30.7,NaN,1
SRV-04397,Ubuntu,84.5,58.8,55.9,1
SRV-04398,Fedora,673.4,15.2,72.5,0
SRV-04399,Arch,7.2,24.7,68.3,1
SRV-04400,Arch,80.3,33.6,89.2,1
SRV-04401,Fedora,85.1,11.2,76.3,1
SRV-04402,Ubuntu,49.2,23.3,69.9,1
SRV-04403,Ubuntu,30.9,15.3,79.1,0
SRV-04404,Ubuntu,7.1,18.4,90.1,1
SRV-04405,Arch,15.4,28.9,90.6,1
SRV-04406,CachyOS,23.5,54.4,68.7,0
SRV-04407,Fedora,26.1,29.3,29.9,1
SRV-04408,CachyOS,54.2,32.7,39.7,1
SRV-04409,Fedora,9.5,56.9,59.7,0
SRV-04410,Ubuntu,43.9,38.1,70.1,0
SRV-04411,Fedora,68.2,20.4,436.8,0
SRV-04412,Ubuntu,59.9,33.4,84.4,1
SRV-04413,CachyOS,62.2,53.1,82.0,1
SRV-04414,Ubuntu,25.9,9.0,33.0,1
SRV-04415,Ubuntu,17.7,26.9,72.0,1
SRV-04416,Fedora,65.0,17.7,47.2,0
SRV-04417,Ubuntu,97.4,4.4,31.8,0
SRV-04418,CachyOS,93.2,48.8,36.2,0
SRV-04419,,41.0,25.7,34.1,1
SRV-04420,Arch,34.2,50.3,38.3,1
SRV-04421,Arch,92.1,52.4,92.5,0
SRV-04422,Arch,9.8,NaN,50.3,0
SRV-04423,Ubuntu,,62.9,69.3,1
SRV-04424,CachyOS,33.6,36.0,93.4,0
SRV-04425,Arch,68.6,5.2,57.0,1
SRV-04426,Arch,13.4,36.1,52.6,0
SRV-04427,Arch,93.0,60.2,80.6,0
SRV-04428,CachyOS,96.5,4.5,35.8,1
SRV-04429,Ubuntu,NaN,13.1,93.2,1
SRV-04430,CachyOS,58.4,57.5,82.9,1
SRV-04431,Fedora,18.2,14.9,82.2,0
SRV-04432,Arch,72.1,37.1,86.7,0
SRV-04433,Arch,,36.6,41.4,0
SRV-04434,CachyOS,,60.1,92.5,1
SRV-04435,Ubuntu,,26.2,65.8,0
SRV-04436,CachyOS,48.9,49.2,90.8,1
SRV-04437,Ubuntu,,44.6,64.0,1
SRV-04438,,55.9,20.9,77.9,0
SRV-04439,Fedora,NaN,14.5,71.8,1
SRV-04440,Arch,16.1,44.6,36.2,0
SRV-04441,Ubuntu,31.0,3.6,94.4,0
SRV-04442,Arch,67.8,24.2,67.9,1
SRV-04443,CachyOS,26.8,34.8,445.0,1
SRV-04444,CachyOS,30.1,57.6,31.6,0
SRV-04445,Ubuntu,673.2,51.4,84.9,1
SRV-04446,CachyOS,19.1,39.5,38.9,1
SRV-04447,Ubuntu,17.0,51.7,36.8,1
SRV-04448,,35.0,10.3,54.4,1
SRV-04449,CachyOS,89.1,34.1,60.9,0
SRV-04450,,44.5,37.3,57.2,0
SRV-04451,Ubuntu,11.5,55.4,72.5,0
SRV-04452,Fedora,51.7,8.2,76.7,1
SRV-04453,Fedora,14.3,48.9,87.2,1
SRV-04454,Arch,13.3,45.3,56.7,0
SRV-04455,Ubuntu,82.7,16.2,61.1,1
SRV-04456,Arch,87.9,27.6,90.7,0
SRV-04457,Ubuntu,39.7,,39.1,1
SRV-04458,Fedora,69.4,44.5,228.5,0
SRV-04459,Ubuntu,82.3,61.3,52.5,0
SRV-04460,Fedora,48.2,3.1,,0
SRV-04461,Ubuntu,95.0,14.3,88.5,1
SRV-04462,Arch,18.8,43.7,49.5,0
SRV-04463,Arch,57.2,11.9,68.7,0
SRV-04464,Ubuntu,13.3,13.9,72.9,1
SRV-04465,Arch,27.7,37.5,71.8,0
SRV-04466,Ubuntu,85.0,32.4,35.7,1
SRV-04467,Arch,35.6,38.7,43.0,0
SRV-04468,Fedora,31.8,25.5,35.5,0
SRV-04469,Fedora,58.9,1.1,,1
SRV-04470,Arch,26.7,NaN,47.8,1
SRV-04471,Fedora,93.4,23.1,73.1,0
SRV-04472,Arch,27.0,62.1,82.2,1
SRV-04473,CachyOS,869.0,3.6,32.1,1
SRV-04474,Fedora,39.1,14.5,55.1,1
SRV-04475,CachyOS,4.2,54.4,83.3,1
SRV-04476,CachyOS,96.6,51.1,36.1,1
SRV-04477,,7.2,NaN,46.8,0
SRV-04478,Fedora,27.7,21.5,64.6,0
SRV-04479,CachyOS,4.5,45.3,35.3,1
SRV-04480,Arch,79.2,55.2,71.5,1
SRV-04481,Fedora,47.6,8.2,68.6,0
SRV-04482,Ubuntu,56.3,8.7,45.6,1
SRV-04483,Ubuntu,13.5,47.2,433.8,0
SRV-04484,CachyOS,12.6,9.4,45.3,0
SRV-04485,Ubuntu,27.4,59.4,68.7,1
SRV-04486,Arch,79.8,47.9,36.3,1
SRV-04487,Fedora,20.5,23.9,,0
SRV-04488,Arch,51.4,40.7,94.1,1
SRV-04489,Arch,37.9,30.4,79.3,1
SRV-04490,Arch,17.0,50.6,70.3,1
SRV-04491,Arch,15.1,32.6,90.5,0
SRV-04492,CachyOS,45.0,NaN,70.3,0
SRV-04493,Arch,94.8,12.9,53.1,0
SRV-04494,CachyOS,63.0,24.7,82.7,1
SRV-04495,CachyOS,66.1,53.2,,0
SRV-04496,Ubuntu,53.0,12.7,59.4,1
SRV-04497,Fedora,86.2,60.4,81.9,1
SRV-04498,Arch,66.5,54.2,68.5,1
SRV-04499,CachyOS,65.4,51.4,35.1,0
SRV-04500,Arch,62.4,43.8,35.6,0
SRV-04501,Fedora,12.7,44.3,51.6,0
SRV-04502,Ubuntu,81.8,59.8,88.6,1
SRV-04503,CachyOS,3.2,1.6,51.0,1
SRV-04504,Fedora,792.0,7.1,46.8,0
SRV-04505,Ubuntu,45.6,23.1,38.5,1
SRV-04506,Ubuntu,15.3,25.2,42.7,0
SRV-04507,CachyOS,77.6,26.8,68.9,1
SRV-04508,Fedora,86.3,28.0,40.1,1
SRV-04509,Arch,61.2,21.7,61.6,0
SRV-04510,Fedora,7.6,50.4,83.2,0
SRV-04511,Ubuntu,82.6,53.6,30.1,0
SRV-04512,Fedora,47.4,1.2,45.9,0
SRV-04513,Fedora,35.5,44.7,,1
SRV-04514,Fedora,40.6,5.5,33.9,0
SRV-04515,Ubuntu,53.2,58.9,48.0,1
SRV-04516,Fedora,50.7,61.8,33.2,0
SRV-04517,CachyOS,21.3,54.6,93.7,1
SRV-04518,Ubuntu,2.9,13.2,72.2,1
SRV-04519,Arch,NaN,2.3,82.9,1
SRV-04520,Ubuntu,12.0,48.2,53.3,1
SRV-04521,CachyOS,97.4,28.6,67.7,1
SRV-04522,CachyOS,38.7,12.1,42.4,0
SRV-04523,Ubuntu,95.7,52.4,40.1,0
SRV-04524,Arch,18.2,11.7,,1
SRV-04525,Arch,92.0,63.0,33.2,0
SRV-04526,Arch,14.1,61.3,,1
SRV-04527,Arch,4.4,41.9,34.5,1
SRV-04528,Arch,83.0,NaN,93.4,0
SRV-04529,Ubuntu,42.9,43.5,74.5,0
SRV-04530,Ubuntu,62.2,28.7,,1
SRV-04531,Fedora,16.5,25.7,46.7,1
SRV-04532,Ubuntu,72.7,36.0,66.5,1
SRV-04533,Fedora,94.1,54.7,34.2,1
SRV-04534,CachyOS,15.5,35.1,91.0,1
SRV-04535,CachyOS,,3.2,92.4,1
SRV-04536,Arch,25.6,16.1,80.8,0
SRV-04537,Ubuntu,29.0,3.2,89.1,0
SRV-04538,Ubuntu,52.8,28.2,56.7,0
SRV-04539,CachyOS,55.7,20.0,53.8,1
SRV-04540,Ubuntu,14.5,10.8,80.9,1
SRV-04541,Ubuntu,67.6,59.6,57.7,0
SRV-04542,CachyOS,37.3,58.8,29.4,1
SRV-04543,Arch,609.0,17.5,33.3,1
SRV-04544,Arch,17.0,61.4,45.1,0
SRV-04545,Fedora,74.2,34.3,35.3,0
SRV-04546,Ubuntu,79.5,43.3,61.0,1
SRV-04547,Ubuntu,51.1,55.7,39.8,0
SRV-04548,Ubuntu,92.7,31.4,87.3,0
SRV-04549,Ubuntu,62.5,NaN,29.2,1
SRV-04550,Ubuntu,54.4,63.8,88.7,1
SRV-04551,Ubuntu,36.8,42.5,57.2,0
SRV-04552,Arch,42.2,59.9,94.0,0
SRV-04553,CachyOS,4.8,24.5,81.3,0
SRV-04554,CachyOS,39.1,53.0,73.1,1
SRV-04555,CachyOS,42.0,50.2,64.1,0
SRV-04556,Fedora,64.6,22.7,62.0,1
SRV-04557,Ubuntu,93.4,33.7,67.2,1
SRV-04558,Ubuntu,48.4,60.1,42.3,1
SRV-04559,,90.5,57.0,81.8,0
SRV-04560,Arch,53.3,45.9,79.1,1
SRV-04561,Fedora,43.5,1.7,62.0,0
SRV-04562,Arch,94.8,18.3,,1
SRV-04563,Arch,34.4,13.6,93.3,0
SRV-04564,CachyOS,71.6,60.3,34.5,0
SRV-04565,CachyOS,87.9,33.8,86.3,0
SRV-04566,Arch,47.1,61.9,47.5,1
SRV-04567,Fedora,47.1,50.2,46.9,0
SRV-04568,Ubuntu,80.9,23.4,78.1,1
SRV-04569,Fedora,46.8,17.6,57.9,1
SRV-04570,Fedora,32.5,19.0,48.9,1
SRV-04571,CachyOS,59.2,NaN,33.0,0
SRV-04572,Arch,36.0,28.7,,0
SRV-04573,Arch,90.1,25.9,44.3,1
SRV-04574,CachyOS,45.4,32.6,29.0,1
SRV-04575,Arch,46.1,46.1,93.1,0
SRV-04576,Fedora,39.3,57.7,68.0,0
SRV-04577,CachyOS,65.3,62.5,32.7,0
SRV-04578,Fedora,9.8,45.5,54.5,0
SRV-04579,Fedora,NaN,20.2,77.4,0
SRV-04580,Arch,,9.0,77.3,1
SRV-04581,Ubuntu,95.0,43.6,32.0,0
SRV-04582,Fedora,53.4,51.0,79.6,1
SRV-04583,CachyOS,32.2,31.5,85.3,0
SRV-04584,Ubuntu,19.0,15.5,94.8,0
SRV-04585,Ubuntu,715.0,18.5,66.3,1
SRV-04586,Fedora,NaN,45.6,72.1,0
SRV-04587,CachyOS,83.0,31.6,322.3,1
SRV-04588,Ubuntu,38.0,12.4,43.0,1
SRV-04589,Ubuntu,14.2,62.2,42.6,1
SRV-04590,Ubuntu,NaN,9.7,80.4,0
SRV-04591,Ubuntu,59.6,,68.9,0
SRV-04592,Ubuntu,78.6,54.0,69.5,1
SRV-04593,Ubuntu,48.6,42.3,78.3,0
SRV-04594,CachyOS,98.0,1.1,48.2,0
SRV-04595,Arch,38.5,39.8,39.8,0
SRV-04596,Fedora,37.8,63.9,51.5,1
SRV-04597,Ubuntu,87.8,39.8,75.2,1
SRV-04598,Fedora,25.8,29.6,72.7,1
SRV-04599,CachyOS,81.4,45.8,37.1,0
SRV-04600,Fedora,40.7,33.8,74.0,0
SRV-04601,Arch,,21.9,68.9,1
SRV-04602,Arch,65.7,7.1,67.0,0
SRV-04603,Arch,NaN,41.1,58.4,0
SRV-04604,Ubuntu,50.3,17.3,28.7,1
SRV-04605,Arch,9.6,49.9,91.2,1
SRV-04606,Fedora,74.5,18.0,40.2,1
SRV-04607,Arch,91.2,12.6,37.4,1
SRV-04608,Arch,16.9,53.0,42.7,1
SRV-04609,Arch,95.4,5.2,64.6,0
SRV-04610,Arch,71.1,7.6,61.8,0
SRV-04611,CachyOS,95.9,25.6,56.5,0
SRV-04612,Ubuntu,9.6,57.4,93.9,0
SRV-04613,CachyOS,95.7,61.2,61.8,0
SRV-04614,CachyOS,85.5,51.9,89.7,1
SRV-04615,Ubuntu,40.2,8.2,31.7,0
SRV-04616,Fedora,28.9,20.6,68.2,1
SRV-04617,Fedora,97.9,19.3,42.5,0
SRV-04618,CachyOS,93.1,3.8,78.0,0
SRV-04619,Arch,90.4,41.2,54.3,1
SRV-04620,Arch,84.2,2.6,86.7,1
SRV-04621,Fedora,49.9,29.8,78.1,0
SRV-04622,Ubuntu,91.4,11.3,41.1,1
SRV-04623,CachyOS,41.5,40.6,29.9,0
SRV-04624,Arch,84.7,46.8,74.2,0
SRV-04625,Arch,754.5,59.0,60.0,0
SRV-04626,Ubuntu,23.2,27.3,50.8,0
SRV-04627,Arch,10.3,26.0,40.2,1
SRV-04628,Ubuntu,837.0,58.3,52.0,0
SRV-04629,Ubuntu,79.5,25.9,94.1,1
SRV-04630,Arch,20.6,50.3,354.5,0
SRV-04631,CachyOS,87.9,45.8,75.5,1
SRV-04632,Fedora,50.2,48.8,74.1,1
SRV-04633,Arch,77.6,2.5,57.3,1
SRV-04634,Ubuntu,75.6,33.6,52.6,0
SRV-04635,Fedora,51.6,37.9,34.0,1
SRV-04636,Fedora,NaN,46.9,81.2,1
SRV-04637,CachyOS,16.7,8.8,82.6,0
SRV-04638,,96.5,14.8,28.2,0
SRV-04639,CachyOS,5.2,44.3,43.6,0
SRV-04640,Ubuntu,75.5,28.5,43.3,0
SRV-04641,CachyOS,90.3,23.8,84.2,0
SRV-04642,,68.9,5.4,43.3,1
SRV-04643,Ubuntu,54.1,2.8,46.2,1
SRV-04644,Ubuntu,28.4,62.3,33.1,0
SRV-04645,Ubuntu,86.2,22.8,41.0,1
SRV-04646,CachyOS,43.1,NaN,60.7,1
SRV-04647,Arch,83.3,22.5,85.1,1
SRV-04648,Arch,17.7,31.2,34.5,1
SRV-04649,CachyOS,82.8,38.2,86.8,0
SRV-04650,CachyOS,37.3,42.6,65.0,1
SRV-04651,Ubuntu,NaN,33.4,55.6,1
SRV-04652,Fedora,77.1,24.1,55.5,1
SRV-04653,Ubuntu,26.7,42.9,32.1,1
SRV-04654,Fedora,37.6,35.4,45.3,0
SRV-04655,Ubuntu,35.3,51.9,81.8,1
SRV-04656,CachyOS,8.0,29.5,91.0,1
SRV-04657,Fedora,41.5,59.2,79.4,1
SRV-04658,CachyOS,34.4,25.6,56.6,0
SRV-04659,Fedora,28.6,31.4,62.0,0
SRV-04660,Arch,8.4,31.3,37.5,0
SRV-04661,Fedora,,11.4,68.7,0
SRV-04662,Fedora,14.4,20.9,75.8,1
SRV-04663,CachyOS,92.4,58.2,59.2,0
SRV-04664,CachyOS,15.7,56.5,62.7,1
SRV-04665,Arch,5.5,43.1,43.1,1
SRV-04666,Fedora,38.0,33.1,90.4,1
SRV-04667,Fedora,50.4,29.4,62.9,1
SRV-04668,Fedora,74.5,63.1,41.4,0
SRV-04669,Arch,82.6,19.1,32.0,1
SRV-04670,Ubuntu,56.9,32.9,45.2,1
SRV-04671,Fedora,3.2,29.2,66.5,1
SRV-04672,Ubuntu,62.3,10.7,58.9,0
SRV-04673,Arch,27.0,27.5,NaN,0
SRV-04674,Arch,95.3,15.7,63.4,1
SRV-04675,Fedora,46.1,54.1,92.0,0
SRV-04676,CachyOS,82.8,21.7,79.0,1
SRV-04677,Fedora,46.8,37.2,51.1,0
SRV-04678,,6.7,5.4,47.5,1
SRV-04679,Ubuntu,,35.1,90.8,0
SRV-04680,Ubuntu,15.6,30.7,41.0,0
SRV-04681,Arch,47.3,2.1,55.3,0
SRV-04682,Fedora,87.9,63.9,86.2,0
SRV-04683,CachyOS,98.0,13.7,74.1,0
SRV-04684,Fedora,66.7,29.1,85.7,0
SRV-04685,CachyOS,53.2,32.0,36.7,0
SRV-04686,CachyOS,32.7,4.1,47.1,1
SRV-04687,Arch,20.4,63.2,82.4,1
SRV-04688,Ubuntu,28.6,30.7,62.5,1
SRV-04689,Ubuntu,28.5,22.5,37.4,0
SRV-04690,CachyOS,83.5,10.3,66.2,0
SRV-04691,Arch,91.8,27.2,86.6,1
SRV-04692,Arch,24.6,NaN,89.8,1
SRV-04693,CachyOS,65.7,18.0,83.8,1
SRV-04694,Fedora,27.2,40.7,35.5,1
SRV-04695,Ubuntu,33.4,7.5,68.5,1
SRV-04696,Fedora,,23.8,79.6,1
SRV-04697,Fedora,55.4,1.4,63.1,0
SRV-04698,Ubuntu,36.8,5.0,77.9,0
SRV-04699,CachyOS,94.8,54.6,55.8,1
SRV-04700,CachyOS,91.1,52.8,73.9,1
SRV-04701,CachyOS,81.4,7.3,84.0,0
SRV-04702,CachyOS,30.1,11.8,44.1,0
SRV-04703,Ubuntu,19.4,38.6,78.3,0
SRV-04704,Ubuntu,24.2,47.8,80.5,0
SRV-04705,Fedora,42.7,2.1,NaN,0
