aficionado_id,ciudad_sede,costo_vuelo_usd,costo_hotel_usd,dias_estadia,presupuesto_excedido
FAN-01852,Miami,332.42,880.01,8,1
FAN-01853,Miami,2276.96,600.15,3,1
FAN-01854,Miami,2255.14,794.69,12,0
FAN-01855,Miami,848.66,678.37,2,0
FAN-01856,CDMX,,762.89,6,1
FAN-01857,CDMX,478.0,390.58,5,0
FAN-01858,CDMX,2162.45,879.48,11,0
FAN-01859,Miami,NaN,582.58,11,1
FAN-01860,Miami,2319.12,794.08,9,1
FAN-01861,Monterrey,320.62,762.67,4,1
FAN-01862,CDMX,1298.97,147.82,11,1
FAN-01863,CDMX,580.83,322.95,12,1
FAN-01864,Monterrey,1854.2,843.31,4,1
FAN-01865,Miami,1529.44,107.32,12,1
FAN-01866,CDMX,1093.35,97291.23,1,1
FAN-01867,Monterrey,2419.1,413.09,9,1
FAN-01868,CDMX,2326.75,848.01,5,0
FAN-01869,Monterrey,566.27,213.16,14,0
FAN-01870,Miami,1500.62,349.42,5,0
FAN-01871,Monterrey,2012.93,560.81,2,0
FAN-01872,Miami,,624.08,1,1
FAN-01873,Monterrey,910.75,875.3,7,0
FAN-01874,CDMX,NaN,54345.92,3,1
FAN-01875,Monterrey,807.85,526.44,6,1
FAN-01876,Monterrey,1753.98,856.66,2,0
FAN-01877,Monterrey,1477.59,661.78,6,0
FAN-01878,Monterrey,832.25,668.21,2,0
FAN-01879,Monterrey,1126.01,746.59,5,0
FAN-01880,Miami,1832.88,734.23,6,0
FAN-01881,Miami,831.51,744.96,5,0
FAN-01882,CDMX,1053.32,114.62,6,1
FAN-01883,Monterrey,2171.37,281.84,3,1
FAN-01884,CDMX,419.0,300.46,8,1
FAN-01885,CDMX,NaN,767.78,9,1
FAN-01886,CDMX,1905.34,451.82,10,1
FAN-01887,Miami,1346.57,741.18,12,1
FAN-01888,CDMX,1565.59,279.48,3,1
FAN-01889,Monterrey,2147.82,885.16,12,0
FAN-01890,Miami,973.59,499.09,10,1
FAN-01891,Monterrey,873.65,305.8,3,0
FAN-01892,CDMX,2073.86,852.62,6,0
FAN-01893,Miami,1740.33,672.37,7,1
FAN-01894,CDMX,NaN,785.3,5,1
FAN-01895,Miami,2453.01,598.2,11,0
FAN-01896,CDMX,2119.46,462.76,13,0
FAN-01897,Monterrey,1425.4,488.43,4,1
FAN-01898,Monterrey,531.3,576.53,8,1
FAN-01899,Monterrey,360.18,68454.64,4,1
FAN-01900,Miami,1269.2,579.42,1,1
FAN-01901,Miami,2116.9,882.76,7,0
FAN-01902,CDMX,1174.72,455.67,1,1
FAN-01903,CDMX,176.21,127.91,9,1
FAN-01904,CDMX,2024.01,288.57,7,0
FAN-01905,Monterrey,1648.26,894.66,1,1
FAN-01906,Monterrey,2365.32,194.76,4,0
FAN-01907,Miami,1217.03,774.72,3,0
FAN-01908,CDMX,1838.48,827.83,1,0
FAN-01909,CDMX,616.17,92.76,9,0
FAN-01910,CDMX,2232.48,222.83,8,0
FAN-01911,CDMX,711.76,236.94,11,0
FAN-01912,CDMX,1961.43,364.95,14,0
FAN-01913,Monterrey,1259.78,493.16,2,0
FAN-01914,CDMX,1063.27,209.92,14,0
FAN-01915,Miami,578.94,240.52,6,1
FAN-01916,Monterrey,1495.71,871.15,12,1
FAN-01917,CDMX,1173.19,NaN,4,1
FAN-01918,CDMX,2391.64,98.88,9,1
FAN-01919,Monterrey,975.82,200.73,7,0
FAN-01920,CDMX,707.78,447.16,5,1
FAN-01921,Miami,1183.55,343.86,8,1
FAN-01922,Monterrey,1514.01,138.14,13,0
FAN-01923,Miami,2468.25,635.63,6,1
FAN-01924,Miami,1212.73,454.95,2,0
FAN-01925,Miami,1242.04,614.12,14,1
FAN-01926,Monterrey,372.32,723.8,3,0
FAN-01927,Miami,1667.89,569.69,7,1
FAN-01928,CDMX,2023.07,654.03,7,1
FAN-01929,Monterrey,NaN,NaN,11,0
FAN-01930,Miami,1113.62,552.58,NaN,0
FAN-01931,CDMX,1976.76,698.75,6,1
FAN-01932,CDMX,2274.2,699.53,14,1
FAN-01933,CDMX,2287.39,382.15,,0
FAN-01934,CDMX,937.09,NaN,11,0
FAN-01935,Miami,1237.28,814.26,12,0
FAN-01936,Monterrey,1742.69,683.63,9,0
FAN-01937,Miami,666.2,726.5,12,1
FAN-01938,Miami,1252.97,813.6,1,1
FAN-01939,CDMX,941.4,396.49,2,0
FAN-01940,CDMX,1121.23,288.4,,0
FAN-01941,Miami,2101.97,NaN,7,1
FAN-01942,CDMX,2385.91,674.47,8,0
FAN-01943,CDMX,791.96,743.03,1,0
FAN-01944,CDMX,NaN,737.25,4,1
FAN-01945,Miami,1918.5,673.9,14,1
FAN-01946,Miami,648.48,180.07,NaN,0
FAN-01947,CDMX,1623.37,631.84,12,1
FAN-01948,CDMX,1569.95,630.49,7,1
FAN-01949,Monterrey,646.36,287.78,4,0
FAN-01950,CDMX,2339.02,738.23,14,0
FAN-01951,Miami,690.11,287.64,2,1
FAN-01952,CDMX,2067.97,506.47,4,1
FAN-01953,Monterrey,2270.54,874.4,12,1
FAN-01954,Miami,1141.27,259.31,8,1
FAN-01955,CDMX,,547.29,11,1
FAN-01956,CDMX,,798.15,6,1
FAN-01957,Miami,1922.95,113.32,2,0
FAN-01958,Miami,2382.4,644.73,10,1
FAN-01959,CDMX,625.61,86.35,8,0
FAN-01960,Monterrey,704.77,277.4,8,0
FAN-01961,Monterrey,822.9,332.23,8,1
FAN-01962,CDMX,2232.94,530.44,11,0
FAN-01963,CDMX,1937.05,666.5,9,0
FAN-01964,Monterrey,1222.91,555.03,10,1
FAN-01965,Miami,226.17,215.04,8,1
FAN-01966,Monterrey,1885.16,98.94,13,1
FAN-01967,Monterrey,1043.23,292.08,1,1
FAN-01968,Miami,,471.76,5,0
FAN-01969,CDMX,1099.87,828.59,14,1
FAN-01970,CDMX,1414.04,747.51,,0
FAN-01971,Miami,814.5,209.12,13,1
FAN-01972,Miami,224.53,591.24,13,1
FAN-01973,CDMX,163.18,532.92,13,0
FAN-01974,Miami,1281.85,138.91,8,1
FAN-01975,Miami,474.64,335.89,6,0
FAN-01976,Miami,1686.7,139.42,3,0
FAN-01977,Miami,1732.59,791.01,2,0
FAN-01978,Monterrey,1348.31,534.3,9,0
FAN-01979,Miami,1000.95,617.8,8,1
FAN-01980,Miami,2442.7,478.54,8,0
FAN-01981,CDMX,1583.39,187.55,5,1
FAN-01982,CDMX,1656.48,249.0,11,0
FAN-01983,Monterrey,1574.61,462.33,3,1
FAN-01984,Miami,2248.36,88.52,7,0
FAN-01985,Monterrey,2099.25,403.46,8,1
FAN-01986,Miami,976.21,424.15,9,1
FAN-01987,Miami,2389.35,492.54,11,0
FAN-01988,Miami,1267.57,147.08,5,1
FAN-01989,Miami,997.87,91.31,7,1
FAN-01990,Monterrey,1153.36,436.78,5,0
FAN-01991,Miami,2281.49,510.78,,1
FAN-01992,CDMX,1562.86,599.23,12,0
FAN-01993,Miami,1425.4,610.42,2,1
FAN-01994,CDMX,775.21,367.57,3,1
FAN-01995,CDMX,1947.38,576.86,5,0
FAN-01996,CDMX,761.97,685.57,1,0
FAN-01997,Monterrey,,887.54,4,0
FAN-01998,Miami,240.11,435.96,13,1
FAN-01999,Miami,517.62,301.59,12,1
FAN-02000,Monterrey,504.12,641.1,,0
FAN-02001,CDMX,1898.63,767.25,4,0
FAN-02002,Monterrey,887.81,700.78,12,0
FAN-02003,Miami,665.36,728.15,14,1
FAN-02004,Monterrey,1968.62,773.18,11,0
FAN-02005,Monterrey,833.11,899.38,8,1
FAN-02006,CDMX,851.97,114.19,14,1
FAN-02007,Miami,NaN,389.26,11,1
FAN-02008,Miami,725.11,427.27,14,1
FAN-02009,Monterrey,867.83,257.32,13,1
FAN-02010,Miami,573.91,171.29,10,1
FAN-02011,Monterrey,2334.82,772.5,5,1
FAN-02012,CDMX,2072.36,460.14,7,0
FAN-02013,CDMX,425.17,590.84,9,0
FAN-02014,Monterrey,525.13,539.23,6,1
FAN-02015,CDMX,466.46,91812.41,11,0
FAN-02016,CDMX,NaN,190.81,,1
FAN-02017,Monterrey,2103.31,871.14,1,1
FAN-02018,CDMX,2400.95,,NaN,0
FAN-02019,CDMX,315.82,364.21,14,1
FAN-02020,CDMX,1976.94,167.79,3,0
FAN-02021,Miami,1701.0,59567.1,6,1
FAN-02022,CDMX,859.83,359.6,1,1
FAN-02023,Monterrey,1145.75,230.3,11,0
FAN-02024,Monterrey,NaN,543.23,10,1
FAN-02025,Miami,2357.12,774.57,NaN,0
FAN-02026,Monterrey,178.17,341.2,6,1
FAN-02027,Miami,854.61,166.73,2,0
FAN-02028,Monterrey,2224.65,590.87,10,1
FAN-02029,CDMX,199.59,779.3,14,1
FAN-02030,Miami,961.26,724.75,9,1
FAN-02031,CDMX,1933.63,326.87,2,1
FAN-02032,CDMX,1845.96,356.75,7,0
FAN-02033,CDMX,1270.8,614.53,5,1
FAN-02034,Miami,2344.97,232.15,5,1
FAN-02035,CDMX,217.19,727.04,8,1
FAN-02036,Miami,191.2,134.1,13,0
FAN-02037,CDMX,2129.13,611.45,7,0
FAN-02038,Miami,326.38,482.97,14,0
FAN-02039,Miami,1827.76,872.52,8,0
FAN-02040,Monterrey,1464.62,601.11,NaN,1
FAN-02041,Monterrey,2448.16,878.15,9,1
FAN-02042,Miami,497.54,428.09,9,0
FAN-02043,CDMX,280.35,371.57,3,1
FAN-02044,Monterrey,NaN,709.72,2,0
FAN-02045,Miami,1960.51,398.48,8,0
FAN-02046,CDMX,1580.27,516.12,9,1
FAN-02047,CDMX,1962.78,799.17,7,1
FAN-02048,Miami,1289.52,94.48,1,0
FAN-02049,Monterrey,784.03,387.15,1,0
FAN-02050,Miami,1880.42,531.97,8,0
FAN-02051,Monterrey,,203.78,NaN,0
FAN-02052,CDMX,1704.95,166.75,NaN,1
FAN-02053,Monterrey,1597.8,835.74,12,1
FAN-02054,CDMX,1110.79,466.99,4,0
FAN-02055,CDMX,257.67,191.12,12,1
FAN-02056,Miami,1075.62,123.19,6,0
FAN-02057,Miami,559.6,594.18,4,1
FAN-02058,Miami,712.53,705.35,6,1
FAN-02059,Miami,2080.39,436.51,9,0
FAN-02060,Monterrey,2062.81,845.79,14,1
FAN-02061,CDMX,NaN,244.34,13,1
FAN-02062,Monterrey,1445.56,190.92,3,1
FAN-02063,CDMX,1862.11,,7,0
FAN-02064,Miami,1299.01,666.46,1,1
FAN-02065,Monterrey,NaN,286.57,7,1
FAN-02066,Miami,1276.21,871.26,5,1
FAN-02067,Miami,1515.83,86.99,11,0
FAN-02068,Monterrey,479.24,77037.04,5,0
FAN-02069,Miami,1959.2,385.48,7,0
FAN-02070,CDMX,2246.59,770.2,5,1
FAN-02071,CDMX,544.25,123.65,7,0
FAN-02072,CDMX,791.32,105.73,3,0
FAN-02073,Miami,831.71,826.41,13,0
FAN-02074,Monterrey,1218.7,104.47,8,1
FAN-02075,CDMX,363.79,824.58,9,0
FAN-02076,Miami,2358.04,249.36,8,1
FAN-02077,Monterrey,2366.17,398.48,14,0
FAN-02078,Monterrey,986.28,337.75,3,1
FAN-02079,Monterrey,665.67,734.95,3,1
FAN-02080,CDMX,586.83,NaN,1,0
FAN-02081,CDMX,1646.66,389.59,7,1
FAN-02082,Monterrey,2083.18,167.28,8,0
FAN-02083,Monterrey,1576.72,896.32,3,1
FAN-02084,CDMX,1874.88,851.05,14,0
FAN-02085,CDMX,,472.03,11,1
FAN-02086,CDMX,1832.32,761.82,6,1
FAN-02087,Monterrey,1400.3,441.65,12,1
FAN-02088,CDMX,2300.42,573.98,13,0
FAN-02089,CDMX,2299.46,470.09,13,1
FAN-02090,CDMX,585.59,191.44,9,0
FAN-02091,Monterrey,2417.21,848.64,8,0
FAN-02092,CDMX,318.78,407.47,13,1
FAN-02093,Miami,1854.7,161.06,1,0
FAN-02094,CDMX,324.89,324.87,10,0
FAN-02095,CDMX,1871.38,499.54,1,0
FAN-02096,CDMX,2275.7,295.26,12,0
FAN-02097,Miami,,554.53,2,1
FAN-02098,Monterrey,658.06,346.51,1,0
FAN-02099,Monterrey,327.7,105.4,5,0
FAN-02100,CDMX,653.0,836.49,11,1
FAN-02101,Miami,1353.21,866.13,12,0
FAN-02102,CDMX,844.0,557.69,8,1
FAN-02103,Miami,1779.02,474.7,10,0
FAN-02104,Monterrey,1582.15,565.12,3,0
FAN-02105,CDMX,983.0,790.81,12,0
FAN-02106,Miami,2311.71,157.44,10,1
FAN-02107,CDMX,1297.97,817.77,,1
FAN-02108,Miami,213.51,873.32,5,1
FAN-02109,CDMX,1804.12,513.33,3,1
FAN-02110,Monterrey,1984.1,483.67,5,0
FAN-02111,CDMX,1778.83,160.23,7,0
FAN-02112,CDMX,1085.51,189.8,3,0
FAN-02113,Monterrey,886.79,266.53,14,0
FAN-02114,Monterrey,1132.78,670.97,3,1
FAN-02115,Miami,303.37,577.09,5,0
FAN-02116,Monterrey,1724.08,328.53,13,1
FAN-02117,Monterrey,1980.83,375.65,11,0
FAN-02118,Miami,820.54,595.31,14,1
FAN-02119,Miami,1289.81,764.02,1,0
FAN-02120,Miami,2463.61,334.02,7,1
FAN-02121,Miami,1788.25,742.53,11,1
FAN-02122,Monterrey,910.74,550.24,7,0
FAN-02123,CDMX,1957.59,504.19,9,0
FAN-02124,Miami,2434.86,868.7,6,1
FAN-02125,CDMX,628.23,759.59,6,0
FAN-02126,Miami,998.46,83.0,6,1
FAN-02127,Miami,337.74,776.35,4,0
FAN-02128,Monterrey,2181.87,122.82,1,0
FAN-02129,Miami,1220.45,843.96,13,0
FAN-02130,Miami,1489.32,480.95,9,1
FAN-02131,Miami,1315.1,NaN,9,0
FAN-02132,Monterrey,593.9,761.58,9,0
FAN-02133,Monterrey,1588.21,709.35,2,1
FAN-02134,CDMX,NaN,688.98,3,0
FAN-02135,Monterrey,1805.17,,4,0
FAN-02136,CDMX,529.18,710.49,10,0
FAN-02137,CDMX,NaN,,3,1
FAN-02138,Miami,2066.76,297.99,7,1
FAN-02139,CDMX,1037.52,175.55,11,0
FAN-02140,CDMX,1047.57,739.58,6,0
FAN-02141,Monterrey,1566.61,669.38,14,0
FAN-02142,Monterrey,584.69,176.12,2,0
FAN-02143,Monterrey,1066.68,723.44,1,0
FAN-02144,CDMX,1144.1,200.19,3,0
FAN-02145,Miami,1678.46,,13,1
FAN-02146,Monterrey,1515.64,596.27,2,1
FAN-02147,Monterrey,1830.19,218.7,11,0
FAN-02148,Miami,1421.35,262.08,9,1
FAN-02149,Miami,1550.59,223.54,8,1
FAN-02150,CDMX,1185.34,414.24,12,1
FAN-02151,CDMX,435.22,127.95,9,0
FAN-02152,Miami,NaN,403.58,10,0
FAN-02153,Monterrey,196.18,734.92,2,1
FAN-02154,Miami,476.66,NaN,14,0
FAN-02155,Monterrey,1994.67,331.19,1,1
FAN-02156,Miami,1309.43,66058.8,5,1
FAN-02157,CDMX,327.16,868.98,12,0
FAN-02158,Miami,336.62,298.74,6,0
FAN-02159,Miami,,442.1,6,0
FAN-02160,Monterrey,674.9,616.62,6,1
FAN-02161,Miami,1084.89,NaN,10,0
FAN-02162,Monterrey,1092.57,437.5,1,1
FAN-02163,Miami,567.71,153.67,3,0
FAN-02164,CDMX,1613.44,513.45,NaN,0
FAN-02165,Monterrey,192.72,320.53,6,1
FAN-02166,Miami,NaN,823.48,14,1
FAN-02167,Monterrey,513.31,100.09,13,1
FAN-02168,Monterrey,1588.09,433.55,10,1
FAN-02169,Miami,1920.11,189.29,8,1
FAN-02170,CDMX,311.4,291.66,6,0
FAN-02171,CDMX,1353.16,153.73,11,1
FAN-02172,CDMX,2445.02,664.41,12,0
FAN-02173,Monterrey,1403.41,703.98,9,0
FAN-02174,Miami,1864.9,66683.86,12,0
FAN-02175,CDMX,979.83,769.77,7,0
FAN-02176,Monterrey,1986.22,NaN,8,1
FAN-02177,Miami,2246.56,847.07,12,1
FAN-02178,CDMX,1960.58,472.02,10,0
FAN-02179,Monterrey,521.52,561.95,11,0
FAN-02180,Monterrey,1507.85,88.34,14,1
FAN-02181,CDMX,325.99,291.56,7,0
FAN-02182,CDMX,2127.95,472.01,NaN,1
FAN-02183,Miami,1639.76,159.84,5,0
FAN-02184,Monterrey,178.55,424.68,13,1
FAN-02185,Miami,1164.98,263.48,6,0
FAN-02186,Miami,1346.76,98.26,4,0
FAN-02187,Miami,1261.54,547.87,5,1
FAN-02188,Monterrey,712.82,535.57,12,0
FAN-02189,CDMX,296.74,588.54,6,1
FAN-02190,Miami,1074.82,432.64,9,1
FAN-02191,CDMX,397.82,654.06,10,0
FAN-02192,Miami,1112.82,689.35,7,0
FAN-02193,Monterrey,2226.45,285.77,1,0
FAN-02194,CDMX,1676.87,497.17,3,1
FAN-02195,Monterrey,153.43,80711.5,9,1
FAN-02196,Miami,1098.16,566.84,8,0
FAN-02197,Miami,1908.66,819.08,2,0
FAN-02198,Miami,606.94,57739.75,14,1
FAN-02199,Monterrey,2072.08,175.73,5,1
FAN-02200,CDMX,239.58,802.69,1,1
FAN-02201,Miami,841.18,849.2,1,0
FAN-02202,Miami,859.18,218.28,7,0
FAN-02203,CDMX,313.27,364.06,5,1
FAN-02204,CDMX,1692.72,896.16,4,0
FAN-02205,Monterrey,1193.29,80.27,6,0
FAN-02206,Monterrey,465.31,623.83,2,1
FAN-02207,CDMX,1720.87,57249.43,14,1
FAN-02208,CDMX,1184.59,780.26,7,1
FAN-02209,Miami,1809.95,94071.33,13,0
FAN-02210,Miami,424.87,630.23,2,1
FAN-02211,Monterrey,1184.36,97.07,14,0
FAN-02212,Monterrey,1521.87,299.42,7,1
FAN-02213,Monterrey,421.27,450.76,8,1
FAN-02214,Miami,1765.66,548.21,2,1
FAN-02215,Miami,883.93,614.09,2,0
FAN-02216,Miami,1658.56,417.93,11,1
FAN-02217,Monterrey,1195.15,400.76,2,0
FAN-02218,CDMX,,186.87,6,1
FAN-02219,Monterrey,1429.02,151.19,7,0
FAN-02220,Monterrey,1699.37,136.44,6,1
FAN-02221,CDMX,2377.0,343.18,4,0
FAN-02222,CDMX,1480.04,95.29,13,1
FAN-02223,Monterrey,1921.74,522.14,1,0
FAN-02224,Monterrey,783.5,340.44,14,1
FAN-02225,CDMX,,84505.93,6,1
FAN-02226,Monterrey,2388.89,809.68,1,0
FAN-02227,Miami,1760.57,671.13,NaN,0
FAN-02228,CDMX,933.03,859.76,2,1
FAN-02229,Monterrey,472.95,583.39,7,0
FAN-02230,Miami,1029.18,684.84,1,0
FAN-02231,Miami,328.73,92709.56,14,1
FAN-02232,CDMX,2243.11,859.57,6,0
FAN-02233,Monterrey,1848.68,800.69,7,1
FAN-02234,CDMX,2445.49,460.59,2,0
FAN-02235,CDMX,1324.05,172.81,8,1
FAN-02236,Monterrey,1859.2,241.59,10,0
FAN-02237,Monterrey,1241.52,191.48,5,0
FAN-02238,CDMX,1360.13,447.69,1,1
FAN-02239,Miami,2411.67,642.45,11,0
FAN-02240,Miami,2236.73,727.26,12,1
FAN-02241,Miami,809.97,108.01,5,0
FAN-02242,CDMX,1778.69,764.45,1,0
FAN-02243,Monterrey,782.25,401.91,4,0
FAN-02244,CDMX,1822.8,522.92,10,0
FAN-02245,CDMX,1778.12,230.44,11,0
FAN-02246,Miami,1482.83,711.35,1,0
FAN-02247,Monterrey,1404.37,368.76,8,1
FAN-02248,Monterrey,799.23,347.35,8,1
FAN-02249,Miami,2108.59,349.07,9,1
FAN-02250,CDMX,1872.43,412.17,7,1
FAN-02251,Monterrey,2215.38,477.5,3,1
FAN-02252,CDMX,502.15,124.78,10,0
FAN-02253,CDMX,849.47,528.32,4,1
FAN-02254,Miami,546.87,203.89,4,0
FAN-02255,Miami,2004.54,756.2,7,1
FAN-02256,CDMX,1940.54,769.72,4,1
FAN-02257,Monterrey,1706.53,342.72,6,0
FAN-02258,CDMX,1392.65,323.35,13,0
FAN-02259,Miami,2315.39,615.42,5,1
FAN-02260,Monterrey,343.07,81.73,11,0
FAN-02261,Miami,1644.83,897.78,14,0
FAN-02262,Monterrey,1004.16,213.83,13,1
FAN-02263,Monterrey,763.89,419.25,11,0
FAN-02264,CDMX,2341.94,296.31,1,0
FAN-02265,Miami,1022.68,499.89,9,0
FAN-02266,CDMX,1657.61,493.75,11,1
FAN-02267,Monterrey,1435.93,686.62,13,0
FAN-02268,CDMX,2411.47,,13,0
FAN-02269,Miami,2054.4,647.29,10,1
FAN-02270,CDMX,1090.28,809.13,1,0
FAN-02271,Monterrey,983.75,806.82,6,1
FAN-02272,Miami,597.33,372.96,10,0
FAN-02273,Monterrey,840.01,516.5,10,1
FAN-02274,Miami,1674.55,894.98,1,1
FAN-02275,Monterrey,1027.13,789.33,11,1
FAN-02276,CDMX,577.61,420.63,11,0
FAN-02277,CDMX,656.32,622.15,4,0
FAN-02278,Miami,2358.26,635.87,8,0
FAN-02279,Monterrey,1139.16,803.14,9,1
FAN-02280,CDMX,2164.65,825.18,2,1
FAN-02281,Miami,857.57,85.76,4,0
FAN-02282,Miami,1577.86,654.18,7,0
FAN-02283,Miami,1043.08,858.4,14,0
FAN-02284,Monterrey,368.53,449.13,8,1
FAN-02285,CDMX,1426.59,705.75,3,1
FAN-02286,Monterrey,1859.53,73611.76,2,1
FAN-02287,Miami,607.26,724.86,8,0
FAN-02288,Miami,2119.62,631.52,5,1
FAN-02289,Miami,1613.48,687.45,NaN,0
FAN-02290,Monterrey,2162.41,760.93,9,1
FAN-02291,CDMX,537.49,518.35,7,1
FAN-02292,CDMX,856.78,418.67,3,1
FAN-02293,Monterrey,1833.77,540.33,2,0
FAN-02294,Monterrey,205.93,343.16,3,1
FAN-02295,CDMX,1131.83,151.3,10,1
FAN-02296,CDMX,1332.72,827.45,12,1
FAN-02297,Miami,1110.67,201.66,2,1
FAN-02298,Monterrey,1483.76,NaN,11,0
FAN-02299,Miami,2356.06,218.77,2,1
FAN-02300,CDMX,2342.38,426.34,5,0
FAN-02301,Monterrey,2371.64,473.92,1,0
FAN-02302,Miami,1771.57,576.23,4,1
FAN-02303,Miami,1721.54,137.34,9,0
FAN-02304,CDMX,1767.53,127.44,8,1
FAN-02305,CDMX,2262.92,836.17,13,0
FAN-02306,Miami,1311.25,,4,0
FAN-02307,Miami,,535.67,11,0
FAN-02308,Monterrey,825.98,352.76,1,0
FAN-02309,Monterrey,1498.21,314.25,14,1
FAN-02310,CDMX,850.37,558.3,11,0
FAN-02311,Monterrey,1078.99,353.63,12,1
FAN-02312,CDMX,687.54,882.71,4,1
FAN-02313,CDMX,744.18,270.49,6,0
FAN-02314,Miami,1138.8,699.4,9,1
FAN-02315,Monterrey,1050.26,310.15,2,0
FAN-02316,CDMX,1981.33,195.55,11,0
FAN-02317,CDMX,336.37,680.77,5,0
FAN-02318,Miami,203.65,,1,1
FAN-02319,Miami,,518.53,13,0
FAN-02320,Monterrey,1651.36,840.64,10,0
FAN-02321,Monterrey,2097.3,820.65,12,0
FAN-02322,Monterrey,700.15,277.74,8,0
FAN-02323,Monterrey,816.52,489.82,13,1
FAN-02324,Monterrey,211.82,51512.87,9,1
FAN-02325,Miami,2350.82,285.54,9,1
FAN-02326,Miami,,163.49,2,0
FAN-02327,CDMX,1007.21,82.36,5,0
FAN-02328,Miami,700.95,839.91,9,0
FAN-02329,Miami,1905.5,99497.48,3,1
FAN-02330,Miami,1237.68,572.53,14,0
FAN-02331,CDMX,1232.84,284.94,3,1
FAN-02332,Monterrey,NaN,821.7,9,0
FAN-02333,Monterrey,1733.56,588.63,6,1
FAN-02334,Miami,1958.43,93217.09,8,1
FAN-02335,Monterrey,1624.87,844.53,13,0
FAN-02336,Miami,168.38,654.14,14,0
FAN-02337,Miami,2356.97,358.07,14,1
FAN-02338,Monterrey,1064.33,738.96,8,0
FAN-02339,Monterrey,1417.09,773.69,3,0
FAN-02340,CDMX,1633.12,61923.22,7,1
FAN-02341,CDMX,694.9,339.71,14,1
FAN-02342,CDMX,1671.52,405.2,13,1
FAN-02343,Miami,215.94,292.05,10,0
FAN-02344,CDMX,2338.31,372.78,6,1
FAN-02345,CDMX,443.7,381.88,3,1
FAN-02346,Miami,658.51,473.52,5,1
FAN-02347,Miami,1515.98,112.64,4,1
FAN-02348,CDMX,1044.2,146.17,9,1
FAN-02349,CDMX,945.91,619.21,1,0
FAN-02350,Monterrey,764.08,507.86,1,0
FAN-02351,CDMX,1182.89,152.08,3,1
FAN-02352,Miami,1906.61,459.97,2,1
FAN-02353,Miami,,758.34,5,1
FAN-02354,Monterrey,1390.71,660.0,2,1
FAN-02355,CDMX,326.76,611.01,13,1
FAN-02356,Miami,1226.0,445.58,10,0
FAN-02357,Monterrey,1483.1,617.81,11,0
FAN-02358,Monterrey,1756.16,342.27,13,0
FAN-02359,CDMX,1344.75,473.99,3,1
FAN-02360,Miami,939.17,301.77,7,1
FAN-02361,Monterrey,796.14,186.82,3,0
FAN-02362,CDMX,441.85,767.3,2,1
FAN-02363,CDMX,1227.68,357.98,8,0
FAN-02364,Miami,2496.16,228.38,10,0
FAN-02365,Monterrey,1214.31,559.88,,0
FAN-02366,Miami,2434.46,217.87,5,1
FAN-02367,Miami,1115.31,516.95,13,0
FAN-02368,CDMX,174.33,698.38,7,1
FAN-02369,Miami,2122.47,685.44,14,1
FAN-02370,Miami,226.69,403.48,3,0
FAN-02371,Monterrey,2030.02,,2,1
FAN-02372,Miami,1770.85,109.67,7,1
FAN-02373,CDMX,298.43,337.99,13,1
FAN-02374,CDMX,1417.51,649.21,12,0
FAN-02375,CDMX,151.72,580.24,3,1
FAN-02376,CDMX,1610.68,214.52,,1
FAN-02377,Monterrey,2255.04,109.26,10,0
FAN-02378,Monterrey,NaN,802.28,14,0
FAN-02379,CDMX,969.6,801.78,1,1
FAN-02380,CDMX,2449.75,724.43,2,0
FAN-02381,Miami,1054.45,811.84,NaN,0
FAN-02382,CDMX,2383.38,371.11,,0
FAN-02383,CDMX,1647.16,728.83,2,0
FAN-02384,Monterrey,492.22,227.76,11,0
FAN-02385,Monterrey,2491.57,475.92,10,0
FAN-02386,CDMX,2402.03,116.81,4,0
FAN-02387,CDMX,216.01,187.86,6,0
FAN-02388,Miami,201.57,539.7,13,0
FAN-02389,Monterrey,2240.22,502.12,4,0
FAN-02390,CDMX,1268.16,442.22,12,1
FAN-02391,CDMX,1960.99,643.04,2,1
FAN-02392,Monterrey,2416.43,502.3,2,0
FAN-02393,Miami,1830.13,223.51,11,1
FAN-02394,Monterrey,1641.25,691.58,14,0
FAN-02395,Miami,2276.61,819.46,3,1
FAN-02396,CDMX,256.55,743.75,8,0
FAN-02397,Monterrey,2130.25,427.35,13,1
FAN-02398,CDMX,NaN,848.34,9,1
FAN-02399,Miami,1454.6,784.07,12,1
FAN-02400,Monterrey,418.37,874.45,12,1
FAN-02401,Miami,490.97,531.51,7,0
FAN-02402,CDMX,1054.47,801.7,9,0
FAN-02403,CDMX,641.95,344.61,1,0
FAN-02404,Monterrey,1019.57,89.09,2,0
FAN-02405,Monterrey,2411.31,153.42,7,1
FAN-02406,CDMX,595.48,588.99,5,0
FAN-02407,CDMX,1969.26,435.35,11,1
FAN-02408,CDMX,1210.59,693.76,4,0
FAN-02409,Monterrey,778.08,414.97,6,0
FAN-02410,CDMX,820.15,380.48,6,1
FAN-02411,CDMX,1175.17,601.29,5,0
FAN-02412,CDMX,979.1,417.65,10,1
FAN-02413,Miami,1288.36,213.4,14,1
FAN-02414,Miami,1952.41,598.55,8,1
FAN-02415,Miami,1354.97,207.06,11,1
FAN-02416,Monterrey,629.78,297.98,9,0
FAN-02417,CDMX,253.38,897.69,12,0
FAN-02418,CDMX,1780.72,224.99,9,0
FAN-02419,Miami,237.14,754.19,10,1
FAN-02420,Monterrey,328.99,387.32,1,1
